id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,vaca_x,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9,vaca_y,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,inseminacion_lac_4,inseminacion_lac_5,inseminacion_lac_6,inseminacion_lac_7,inseminacion_lac_8,inseminacion_lac_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
873,1,1,1,1,1,1,0,0,0,10083,11561,10897,10271,11823,9935,0,0,0,428,375,278,272,447,266,0,0,0,873,0,1,0,0,1,0,-1,-1,-1,873,1,5,1,1,6,7,-1,-1,-1,0,0,0,0,1,0,-1,-1,-1
901,1,1,1,1,1,1,1,0,0,10351,10429,10396,10921,11988,11463,7626,0,0,308,292,279,312,352,324,217,0,0,901,0,0,1,0,0,0,0,-1,-1,901,3,1,1,2,3,2,3,-1,-1,0,0,0,0,0,0,0,-1,-1
975,1,1,1,1,1,1,0,0,0,9744,11699,11991,13769,8903,5994,0,0,0,353,375,388,454,271,205,0,0,0,975,0,0,0,0,2,1,-1,-1,-1,975,4,4,4,5,1,5,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
993,1,1,1,1,1,0,0,0,0,10351,11764,20080,22182,11234,0,0,0,0,294,299,570,706,237,0,0,0,0,993,0,0,2,1,0,-1,-1,-1,-1,993,2,2,9,11,2,-1,-1,-1,-1,0,0,1,0,0,-1,-1,-1,-1
1036,1,1,1,1,0,0,0,0,0,17805,16297,19012,12588,0,0,0,0,0,522,441,625,315,0,0,0,0,0,1036,0,0,0,1,-1,-1,-1,-1,-1,1036,7,4,11,8,-1,-1,-1,-1,-1,2,1,0,0,-1,-1,-1,-1,-1
1122,1,1,1,1,1,1,0,0,0,13535,11850,10686,12922,14921,916,0,0,0,440,316,285,390,439,30,0,0,0,1122,6,0,0,0,0,0,-1,-1,-1,1122,5,2,1,4,6,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1151,1,1,1,1,1,1,0,0,0,8838,12605,14186,12692,11229,5041,0,0,0,272,374,455,388,377,128,0,0,0,1151,0,0,1,1,2,0,-1,-1,-1,1151,1,4,9,5,3,3,-1,-1,-1,0,0,0,0,1,0,-1,-1,-1
1233,1,1,1,1,1,1,0,0,0,8739,15402,10789,15219,12285,0,0,0,0,268,491,299,498,372,3,0,0,0,1233,0,0,0,0,1,0,-1,-1,-1,1233,1,6,2,7,4,0,-1,-1,-1,0,1,0,0,0,0,-1,-1,-1
1244,1,1,1,1,1,1,0,0,0,8309,12154,13677,16865,10632,8391,0,0,0,274,343,362,476,288,187,0,0,0,1244,0,0,0,1,3,0,-1,-1,-1,1244,1,2,3,6,1,2,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1307,1,1,1,1,1,0,0,0,0,11799,12412,12672,17083,13210,0,0,0,0,404,333,306,535,386,0,0,0,0,1307,0,0,0,0,0,-1,-1,-1,-1,1307,4,2,2,6,3,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,-1
