lactation,profitable %,less profitable %
1,27.908035511040293,72.0919644889597
2,45.58987718645329,54.41012281354671
3,48.45212383009359,51.54787616990641
4,46.69811320754717,53.30188679245283
5,44.48529411764706,55.51470588235294
6,32.6530612244898,67.34693877551021
7,17.24137931034483,82.75862068965517
8,16.666666666666664,83.33333333333334
9,0.0,100.0
