total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,total,index
8458,8709,9760,12160,0,0,0,0,0,39087,0
10850,15825,16398,0,0,0,0,0,0,43073,0
8796,6190,10260,12218,0,0,0,0,0,37464,0
8741,11115,8924,7916,0,0,0,0,0,36696,0
9094,13026,14061,47,0,0,0,0,0,36228,0
11836,11162,11599,12096,0,0,0,0,0,46693,0
9314,12698,14860,744,0,0,0,0,0,37616,0
12215,12915,12660,7846,0,0,0,0,0,45636,0
13941,13108,15374,13846,15241,15669,0,0,0,87179,0
7775,9606,8076,8507,0,0,0,0,0,33964,0
10415,11514,9973,7720,0,0,0,0,0,39622,0
11486,11783,11716,11997,0,0,0,0,0,46982,0
14648,13234,10971,0,0,0,0,0,0,38853,0
11759,16197,12785,0,0,0,0,0,0,40741,0
7983,12617,11120,6316,0,0,0,0,0,38036,0
10653,18260,13008,5534,0,0,0,0,0,47455,0
9503,10880,9811,6233,0,0,0,0,0,36427,0
11170,14487,14027,11570,10913,10736,5911,0,0,78814,0
8009,11340,10453,6527,0,0,0,0,0,36329,0
11434,16008,13087,0,0,0,0,0,0,40529,0
10700,11469,10697,7028,0,0,0,0,0,39894,0
8198,12360,9938,5921,0,0,0,0,0,36417,0
8754,12714,13204,7745,0,0,0,0,0,42417,0
11717,11571,11757,5572,0,0,0,0,0,40617,0
25882,9420,0,0,0,0,0,0,0,35302,0
12150,15637,12938,6248,0,0,0,0,0,46973,0
8629,11258,11869,11063,0,0,0,0,0,42819,0
11118,16232,10612,2334,0,0,0,0,0,40296,0
11041,11425,14666,7027,0,0,0,0,0,44159,0
9942,6971,12473,8693,0,0,0,0,0,38079,0
10919,15330,12260,16401,17789,17327,1269,0,0,91295,0
9756,10797,9609,8648,0,0,0,0,0,38810,0
9169,10629,10742,10958,0,0,0,0,0,41498,0
8654,10625,9912,2424,0,0,0,0,0,31615,0
10941,9312,9816,6838,0,0,0,0,0,36907,0
9059,8774,12850,8900,0,0,0,0,0,39583,0
10405,12887,10584,10758,0,0,0,0,0,44634,0
8183,8727,6065,15,0,0,0,0,0,22990,0
10491,11930,14354,2378,0,0,0,0,0,39153,0
9264,12433,10731,10121,0,0,0,0,0,42549,0
11060,11399,13869,13277,12782,10065,6840,0,0,79292,0
10689,11618,12994,8600,0,0,0,0,0,43901,0
10951,11611,11256,11150,0,0,0,0,0,44968,0
12918,12195,11054,3658,0,0,0,0,0,39825,0
7866,11329,10914,9639,0,0,0,0,0,39748,0
8121,10345,10678,9934,0,0,0,0,0,39078,0
14251,14115,14162,7426,0,0,0,0,0,49954,0
7773,13040,13803,763,0,0,0,0,0,35379,0
7996,11921,10717,7154,0,0,0,0,0,37788,0
7907,11229,11621,8197,0,0,0,0,0,38954,0
8214,13152,10669,6752,0,0,0,0,0,38787,0
8955,11742,9395,6408,0,0,0,0,0,36500,0
12190,14102,16255,16876,10821,6469,0,0,0,76713,0
11486,9677,8097,7117,0,0,0,0,0,36377,0
13083,19855,7801,0,0,0,0,0,0,40739,0
13215,12371,9799,8873,0,0,0,0,0,44258,0
8447,8267,7686,8851,0,0,0,0,0,33251,0
8971,11713,9961,0,0,0,0,0,0,30645,0
12000,13708,9588,8031,0,0,0,0,0,43327,0
7731,12936,12525,6530,0,0,0,0,0,39722,0
8234,15094,14257,0,0,0,0,0,0,37585,0
10175,17971,11121,0,0,0,0,0,0,39267,0
10407,10675,10324,10620,0,0,0,0,0,42026,0
10969,10696,12349,5657,0,0,0,0,0,39671,0
8955,11974,9706,3599,0,0,0,0,0,34234,0
7442,9478,11692,7199,0,0,0,0,0,35811,0
9522,16582,15466,0,0,0,0,0,0,41570,0
13855,17742,16661,17035,16078,2713,0,0,0,84084,0
13219,12061,10823,6190,0,0,0,0,0,42293,0
9726,9901,11727,9584,0,0,0,0,0,40938,0
10205,10829,8927,12318,0,0,0,0,0,42279,0
8880,15113,12695,6625,0,0,0,0,0,43313,0
10262,10930,10677,10859,0,0,0,0,0,42728,0
12832,12301,11256,0,0,0,0,0,0,36389,0
7533,7066,10093,6034,0,0,0,0,0,30726,0
10934,10640,9331,5489,0,0,0,0,0,36394,0
11966,15164,12552,0,0,0,0,0,0,39682,0
11025,13802,11339,0,0,0,0,0,0,36166,0
9861,12255,13468,6243,0,0,0,0,0,41827,0
10772,10407,10129,9071,0,0,0,0,0,40379,0
8211,8212,8406,7926,0,0,0,0,0,32755,0
7778,12125,9836,10364,0,0,0,0,0,40103,0
9112,12799,9632,9285,11471,11098,6963,0,0,70360,0
11646,16726,10963,0,0,0,0,0,0,39335,0
11351,9513,10243,4612,0,0,0,0,0,35719,0
10490,9565,10313,7800,0,0,0,0,0,38168,0
15173,18064,19729,19548,8250,0,0,0,0,80764,0
8689,12150,10473,8306,0,0,0,0,0,39618,0
8981,12190,13746,0,0,0,0,0,0,34917,0
8412,8993,10040,5884,0,0,0,0,0,33329,0
12674,13274,15348,17004,12281,0,0,0,0,70581,0
10858,12107,14484,13793,6016,0,0,0,0,57258,0
7946,10987,10425,8304,0,0,0,0,0,37662,0
16400,14750,18019,18736,11687,0,0,0,0,79592,0
11109,16346,10283,0,0,0,0,0,0,37738,0
10971,11397,12798,11485,8962,6562,0,0,0,62175,0
11797,17638,17361,16009,12922,7604,0,0,0,83331,0
9603,12046,10400,10558,0,0,0,0,0,42607,0
9073,11259,10993,10549,0,0,0,0,0,41874,0
14188,16453,13561,0,0,0,0,0,0,44202,0
10271,10371,11219,19292,15499,0,0,0,0,66652,0
9161,10040,12322,5863,0,0,0,0,0,37386,0
11410,13291,10887,5446,0,0,0,0,0,41034,0
8135,13250,12607,0,0,0,0,0,0,33992,0
7914,9205,10247,8651,0,0,0,0,0,36017,0
10786,12165,13073,12652,0,0,0,0,0,48676,0
8376,8810,6730,9028,0,0,0,0,0,32944,0
7757,10849,8032,7150,0,0,0,0,0,33788,0
7043,15049,15433,11398,11890,0,0,0,0,60813,0
11720,10479,10227,6716,0,0,0,0,0,39142,0
9810,14361,14183,0,0,0,0,0,0,38354,0
9824,9471,8644,9696,9248,8620,0,0,0,55503,0
23378,16025,0,0,0,0,0,0,0,39403,0
11344,11078,11924,6937,0,0,0,0,0,41283,0
9718,10394,10657,7860,0,0,0,0,0,38629,0
9469,9617,12705,6324,0,0,0,0,0,38115,0
11987,14227,11412,9255,0,0,0,0,0,46881,0
11773,12594,14428,0,0,0,0,0,0,38795,0
16545,13295,8248,0,0,0,0,0,0,38088,0
9322,11457,12293,6940,0,0,0,0,0,40012,0
8955,10008,13487,9445,0,0,0,0,0,41895,0
9712,9050,10671,9676,0,0,0,0,0,39109,0
13832,16257,19251,0,0,0,0,0,0,49340,0
6569,8888,8585,8944,0,0,0,0,0,32986,0
11010,10725,10236,5439,0,0,0,0,0,37410,0
9897,8499,9210,4656,0,0,0,0,0,32262,0
8111,8539,15293,4967,0,0,0,0,0,36910,0
10002,11806,10856,8091,0,0,0,0,0,40755,0
8855,10256,9287,8681,0,0,0,0,0,37079,0
9401,13050,11010,7336,0,0,0,0,0,40797,0
10340,11642,15779,0,0,0,0,0,0,37761,0
11498,10273,7337,4727,0,0,0,0,0,33835,0
8534,10293,10675,5245,0,0,0,0,0,34747,0
10443,8975,8021,5396,0,0,0,0,0,32835,0
9349,8767,9576,7564,0,0,0,0,0,35256,0
8252,9303,8889,8412,0,0,0,0,0,34856,0
12429,11786,10059,7665,0,0,0,0,0,41939,0
14892,10290,6359,0,0,0,0,0,0,31541,0
8390,7444,7857,4007,0,0,0,0,0,27698,0
8467,11086,12124,4927,0,0,0,0,0,36604,0
7259,9958,7207,5774,0,0,0,0,0,30198,0
10001,19581,7003,0,0,0,0,0,0,36585,0
10079,13016,11751,22,0,0,0,0,0,34868,0
8274,10283,12116,6809,0,0,0,0,0,37482,0
9717,9576,9004,10342,0,0,0,0,0,38639,0
16545,13184,11975,0,0,0,0,0,0,41704,0
7922,11087,11996,24,0,0,0,0,0,31029,0
9467,10814,9096,7920,0,0,0,0,0,37297,0
8622,9315,10137,10075,0,0,0,0,0,38149,0
8499,11416,9882,5091,0,0,0,0,0,34888,0
11994,8295,13201,0,0,0,0,0,0,33490,0
11543,13368,13350,0,0,0,0,0,0,38261,0
10651,11492,10061,5679,0,0,0,0,0,37883,0
12278,16893,9459,0,0,0,0,0,0,38630,0
10103,12854,11305,2663,0,0,0,0,0,36925,0
9461,10560,11626,8338,0,0,0,0,0,39985,0
7304,11013,9046,0,0,0,0,0,0,27363,0
7689,9963,10877,0,0,0,0,0,0,28529,0
9690,14438,10060,1709,0,0,0,0,0,35897,0
8791,8726,9314,8067,0,0,0,0,0,34898,0
16018,10242,12176,0,0,0,0,0,0,38436,0
9478,11426,9874,7392,0,0,0,0,0,38170,0
8929,13602,9087,0,0,0,0,0,0,31618,0
9607,16114,15728,0,0,0,0,0,0,41449,0
9246,10029,10730,7975,0,0,0,0,0,37980,0
8002,9451,7207,4895,0,0,0,0,0,29555,0
8101,8319,9373,6466,0,0,0,0,0,32259,0
12710,12836,14426,0,0,0,0,0,0,39972,0
8882,10123,10697,6395,0,0,0,0,0,36097,0
9360,12704,12061,1599,0,0,0,0,0,35724,0
8938,7922,8956,4982,0,0,0,0,0,30798,0
14116,15471,3595,0,0,0,0,0,0,33182,0
10043,12610,12962,0,0,0,0,0,0,35615,0
8724,10610,9542,4822,0,0,0,0,0,33698,0
9460,9257,10204,9532,0,0,0,0,0,38453,0
10434,15178,6941,0,0,0,0,0,0,32553,0
8842,14152,13028,0,0,0,0,0,0,36022,0
7966,9733,9947,6992,0,0,0,0,0,34638,0
6253,7816,6824,4186,0,0,0,0,0,25079,0
13609,12192,12085,0,0,0,0,0,0,37886,0
9606,12936,10613,7333,0,0,0,0,0,40488,0
10910,13983,12597,9739,0,0,0,0,0,47229,0
10597,15812,13417,0,0,0,0,0,0,39826,0
9716,19449,11083,0,0,0,0,0,0,40248,0
11019,17606,11296,0,0,0,0,0,0,39921,0
9763,10677,10707,7000,0,0,0,0,0,38147,0
8165,17851,10881,0,0,0,0,0,0,36897,0
10393,11965,12653,7372,0,0,0,0,0,42383,0
22228,10903,4586,0,0,0,0,0,0,37717,0
12401,14282,11045,0,0,0,0,0,0,37728,0
10250,14873,12243,0,0,0,0,0,0,37366,0
10299,12369,10471,0,0,0,0,0,0,33139,0
9398,12756,18090,0,0,0,0,0,0,40244,0
9589,11186,14947,0,0,0,0,0,0,35722,0
20362,12278,1472,0,0,0,0,0,0,34112,0
12725,9114,11072,0,0,0,0,0,0,32911,0
10292,16632,12084,0,0,0,0,0,0,39008,0
8583,10342,9557,9389,0,0,0,0,0,37871,0
12937,14543,11712,0,0,0,0,0,0,39192,0
8714,11270,9438,6328,0,0,0,0,0,35750,0
11597,16612,9975,0,0,0,0,0,0,38184,0
12824,10742,11266,0,0,0,0,0,0,34832,0
9904,11997,11998,432,0,0,0,0,0,34331,0
11591,14910,7860,0,0,0,0,0,0,34361,0
8013,11504,11456,8136,0,0,0,0,0,39109,0
11991,12479,10531,0,0,0,0,0,0,35001,0
8862,10017,8151,1294,0,0,0,0,0,28324,0
27499,12128,0,0,0,0,0,0,0,39627,0
8976,14872,12469,0,0,0,0,0,0,36317,0
9608,10056,10623,4294,0,0,0,0,0,34581,0
8811,13951,10661,0,0,0,0,0,0,33423,0
8617,9872,9565,7811,0,0,0,0,0,35865,0
9046,13829,11162,0,0,0,0,0,0,34037,0
12211,9901,12267,0,0,0,0,0,0,34379,0
9545,12496,13730,0,0,0,0,0,0,35771,0
8453,9661,10054,6001,0,0,0,0,0,34169,0
8229,14940,6761,0,0,0,0,0,0,29930,0
7525,12036,11428,0,0,0,0,0,0,30989,0
8120,16198,11873,0,0,0,0,0,0,36191,0
8276,14128,12247,7460,0,0,0,0,0,42111,0
8607,10594,10551,6516,0,0,0,0,0,36268,0
9319,13452,12642,0,0,0,0,0,0,35413,0
13418,13656,10708,0,0,0,0,0,0,37782,0
8451,9709,8428,1549,0,0,0,0,0,28137,0
7486,12573,11767,0,0,0,0,0,0,31826,0
10818,16456,8497,0,0,0,0,0,0,35771,0
7859,12713,13771,0,0,0,0,0,0,34343,0
8880,14258,14388,0,0,0,0,0,0,37526,0
9420,16815,9966,0,0,0,0,0,0,36201,0
9586,11541,8643,0,0,0,0,0,0,29770,0
10555,12344,11995,0,0,0,0,0,0,34894,0
12031,12905,7243,0,0,0,0,0,0,32179,0
12264,12584,12748,0,0,0,0,0,0,37596,0
22036,16084,0,0,0,0,0,0,0,38120,0
19921,11889,3551,0,0,0,0,0,0,35361,0
9488,15727,12614,0,0,0,0,0,0,37829,0
9172,11117,11702,5267,0,0,0,0,0,37258,0
8341,10459,9713,6608,0,0,0,0,0,35121,0
10710,12104,11717,0,0,0,0,0,0,34531,0
8144,15557,10518,0,0,0,0,0,0,34219,0
14346,11913,10880,0,0,0,0,0,0,37139,0
17234,14814,0,0,0,0,0,0,0,32048,0
9807,12430,16305,0,0,0,0,0,0,38542,0
12338,7874,10914,6336,0,0,0,0,0,37462,0
10092,14596,9975,12333,8105,0,0,0,0,55101,0
8572,9760,12852,0,0,0,0,0,0,31184,0
9350,11862,10477,4941,0,0,0,0,0,36630,0
8893,9984,7977,4819,0,0,0,0,0,31673,0
9182,12201,11320,11812,11968,0,0,0,0,56483,0
0,529,11223,14021,14509,14676,20423,0,0,75381,0
10587,15551,11073,0,0,0,0,0,0,37211,0
10087,12393,11872,2901,0,0,0,0,0,37253,0
16814,14865,0,0,0,0,0,0,0,31679,0
15225,9614,11415,0,0,0,0,0,0,36254,0
11874,11131,6738,0,0,0,0,0,0,29743,0
9392,10654,10648,2711,0,0,0,0,0,33405,0
7247,10437,8863,5713,0,0,0,0,0,32260,0
9000,16301,13131,11676,13741,4989,0,0,0,68838,0
18232,21766,0,0,0,0,0,0,0,39998,0
10468,13050,11588,0,0,0,0,0,0,35106,0
8754,12536,11025,0,0,0,0,0,0,32315,0
9614,5940,9797,2987,0,0,0,0,0,28338,0
8471,8190,8934,2438,0,0,0,0,0,28033,0
10557,11148,10546,0,0,0,0,0,0,32251,0
17952,14100,0,0,0,0,0,0,0,32052,0
11674,12296,8833,0,0,0,0,0,0,32803,0
11985,12242,12311,0,0,0,0,0,0,36538,0
1373,13710,14393,13358,13372,13073,0,0,0,69279,0
11348,14496,14583,0,0,0,0,0,0,40427,0
7191,7460,6972,7116,9696,9880,0,0,0,48315,0
13789,12792,8179,0,0,0,0,0,0,34760,0
18634,8805,5013,0,0,0,0,0,0,32452,0
9120,7464,10082,26,0,0,0,0,0,26692,0
13255,10947,10028,0,0,0,0,0,0,34230,0
8078,15658,13074,0,0,0,0,0,0,36810,0
7432,9852,9663,5019,0,0,0,0,0,31966,0
7820,8810,8479,9535,10131,9640,0,0,0,54415,0
18568,14813,0,0,0,0,0,0,0,33381,0
8241,13040,10935,0,0,0,0,0,0,32216,0
9238,9914,10768,0,0,0,0,0,0,29920,0
8751,11062,10657,791,0,0,0,0,0,31261,0
8863,10984,10027,11120,10910,8235,0,0,0,60139,0
8957,11004,9505,9704,9215,5406,0,0,0,53791,0
8463,12761,11499,0,0,0,0,0,0,32723,0
9261,12183,7495,0,0,0,0,0,0,28939,0
11921,9178,10171,0,0,0,0,0,0,31270,0
15684,14488,7791,0,0,0,0,0,0,37963,0
16847,13671,1406,0,0,0,0,0,0,31924,0
18349,15458,0,0,0,0,0,0,0,33807,0
12101,9822,8771,0,0,0,0,0,0,30694,0
8677,13522,11548,0,0,0,0,0,0,33747,0
18490,11016,5168,0,0,0,0,0,0,34674,0
8624,10844,8836,0,0,0,0,0,0,28304,0
9517,12539,10390,2666,0,0,0,0,0,35112,0
13933,9324,5140,0,0,0,0,0,0,28397,0
12382,14797,12622,15105,15821,0,0,0,0,70727,0
8345,12671,11655,0,0,0,0,0,0,32671,0
19327,10844,4759,0,0,0,0,0,0,34930,0
7683,9271,9448,11813,13190,0,0,0,0,51405,0
7171,12150,8253,0,0,0,0,0,0,27574,0
9242,13662,7814,0,0,0,0,0,0,30718,0
9203,11568,11738,15777,12384,4372,0,0,0,65042,0
17255,11176,7105,0,0,0,0,0,0,35536,0
12538,9393,10300,0,0,0,0,0,0,32231,0
7732,11744,10030,0,0,0,0,0,0,29506,0
16843,13294,0,0,0,0,0,0,0,30137,0
11268,8239,8715,0,0,0,0,0,0,28222,0
12610,11819,10542,0,0,0,0,0,0,34971,0
12885,9495,7789,0,0,0,0,0,0,30169,0
11390,9567,7054,0,0,0,0,0,0,28011,0
18228,11961,0,0,0,0,0,0,0,30189,0
16335,11631,24,0,0,0,0,0,0,27990,0
9107,13682,8099,0,0,0,0,0,0,30888,0
8988,7616,4984,0,0,0,0,0,0,21588,0
18162,14815,0,0,0,0,0,0,0,32977,0
8729,11901,11457,0,0,0,0,0,0,32087,0
13396,11744,8338,0,0,0,0,0,0,33478,0
15293,12489,2219,0,0,0,0,0,0,30001,0
18629,11631,1848,0,0,0,0,0,0,32108,0
13455,8945,10682,0,0,0,0,0,0,33082,0
9036,8054,8798,5687,0,0,0,0,0,31575,0
19760,11603,1600,0,0,0,0,0,0,32963,0
14635,11543,6706,0,0,0,0,0,0,32884,0
9750,13001,9848,0,0,0,0,0,0,32599,0
15343,11425,7903,0,0,0,0,0,0,34671,0
11093,10378,9631,0,0,0,0,0,0,31102,0
9222,12738,6725,0,0,0,0,0,0,28685,0
9530,12257,14793,12273,6895,0,0,0,0,55748,0
16873,9194,5304,0,0,0,0,0,0,31371,0
9690,10482,9180,0,0,0,0,0,0,29352,0
11517,9817,7781,0,0,0,0,0,0,29115,0
13639,7713,3930,0,0,0,0,0,0,25282,0
9100,12099,9419,0,0,0,0,0,0,30618,0
8204,10029,14853,0,0,0,0,0,0,33086,0
8512,9039,9918,2186,0,0,0,0,0,29655,0
9813,8254,12829,0,0,0,0,0,0,30896,0
8645,10928,9500,0,0,0,0,0,0,29073,0
13558,11441,6679,0,0,0,0,0,0,31678,0
8013,14980,5825,0,0,0,0,0,0,28818,0
9940,20300,0,0,0,0,0,0,0,30240,0
16402,12107,0,0,0,0,0,0,0,28509,0
14014,9823,3383,0,0,0,0,0,0,27220,0
9682,9803,7454,0,0,0,0,0,0,26939,0
15994,11951,0,0,0,0,0,0,0,27945,0
9466,10101,13467,0,0,0,0,0,0,33034,0
11288,8760,7377,0,0,0,0,0,0,27425,0
8429,15007,7948,0,0,0,0,0,0,31384,0
13717,12380,15513,11985,4545,0,0,0,0,58140,0
17991,14186,0,0,0,0,0,0,0,32177,0
11123,10180,7862,0,0,0,0,0,0,29165,0
9731,16157,9684,0,0,0,0,0,0,35572,0
9956,10844,7282,0,0,0,0,0,0,28082,0
9233,11384,8186,0,0,0,0,0,0,28803,0
8262,11094,10863,10637,10449,9698,0,0,0,61003,0
7337,11722,10552,0,0,0,0,0,0,29611,0
7685,13343,10447,11704,12653,2272,0,0,0,58104,0
8636,8762,9580,0,0,0,0,0,0,26978,0
12985,15530,14673,11932,11819,0,0,0,0,66939,0
3680,10645,11701,12851,13679,10642,11875,0,0,75073,0
8996,9634,11869,0,0,0,0,0,0,30499,0
7807,11557,9918,0,0,0,0,0,0,29282,0
8864,10942,10384,9988,8861,8282,0,0,0,57321,0
13266,6855,5990,0,0,0,0,0,0,26111,0
9356,7037,7041,0,0,0,0,0,0,23434,0
9779,11650,10720,0,0,0,0,0,0,32149,0
20752,12825,10459,13524,0,0,0,0,0,57560,0
8655,12530,12049,11654,11457,7693,0,0,0,64038,0
8402,11704,11314,0,0,0,0,0,0,31420,0
10825,11203,12169,13345,12553,3693,0,0,0,63788,0
20649,16624,0,0,0,0,0,0,0,37273,0
15202,15855,10884,11871,7764,0,0,0,0,61576,0
3407,9027,14990,11662,15374,10993,0,0,0,65453,0
11183,12039,8040,0,0,0,0,0,0,31262,0
9588,12333,12471,14604,14239,0,0,0,0,63235,0
12785,11950,8436,0,0,0,0,0,0,33171,0
8908,11533,11575,0,0,0,0,0,0,32016,0
15275,9485,7606,0,0,0,0,0,0,32366,0
6483,7411,8389,1384,0,0,0,0,0,23667,0
9654,15580,12270,12526,11222,8598,0,0,0,69850,0
9468,9687,7288,0,0,0,0,0,0,26443,0
8925,13894,11156,0,0,0,0,0,0,33975,0
14337,7177,4432,0,0,0,0,0,0,25946,0
8229,8791,9886,1708,0,0,0,0,0,28614,0
9061,13189,14074,13609,14315,7336,0,0,0,71584,0
17313,11859,1255,0,0,0,0,0,0,30427,0
11239,17890,2990,0,0,0,0,0,0,32119,0
8533,11385,10051,12903,9878,0,0,0,0,52750,0
6219,10489,10533,0,0,0,0,0,0,27241,0
13012,17704,899,0,0,0,0,0,0,31615,0
12140,9095,1394,0,0,0,0,0,0,22629,0
22043,13571,0,0,0,0,0,0,0,35614,0
10701,13657,7207,0,0,0,0,0,0,31565,0
11087,12261,6501,0,0,0,0,0,0,29849,0
7491,10013,11220,0,0,0,0,0,0,28724,0
15268,10975,1931,0,0,0,0,0,0,28174,0
9351,10171,13181,0,0,0,0,0,0,32703,0
11065,9457,7717,0,0,0,0,0,0,28239,0
11043,7898,5131,0,0,0,0,0,0,24072,0
10660,8464,7045,0,0,0,0,0,0,26169,0
15924,13643,0,0,0,0,0,0,0,29567,0
9402,9839,10963,0,0,0,0,0,0,30204,0
14265,11251,5530,0,0,0,0,0,0,31046,0
8297,9227,8809,0,0,0,0,0,0,26333,0
3671,8371,8382,8572,7442,9022,8363,0,0,53823,0
9608,9805,12579,0,0,0,0,0,0,31992,0
8169,10778,10941,11334,11482,0,0,0,0,52704,0
11762,8023,6402,0,0,0,0,0,0,26187,0
12722,7258,5680,0,0,0,0,0,0,25660,0
10299,9549,6361,0,0,0,0,0,0,26209,0
11824,8719,4916,0,0,0,0,0,0,25459,0
13882,14768,1044,0,0,0,0,0,0,29694,0
11409,10854,11022,0,0,0,0,0,0,33285,0
9102,17247,16850,15594,9402,0,0,0,0,68195,0
10146,14861,3878,0,0,0,0,0,0,28885,0
10299,11034,12380,0,0,0,0,0,0,33713,0
8028,9928,10186,0,0,0,0,0,0,28142,0
13898,9567,0,0,0,0,0,0,0,23465,0
9944,7877,7037,0,0,0,0,0,0,24858,0
8582,14986,3990,0,0,0,0,0,0,27558,0
10916,10792,7392,0,0,0,0,0,0,29100,0
11753,10172,3913,0,0,0,0,0,0,25838,0
14140,11583,4157,0,0,0,0,0,0,29880,0
12191,9482,6181,0,0,0,0,0,0,27854,0
13776,10084,9546,8811,6468,0,0,0,0,48685,0
9490,12723,11358,13798,14324,0,0,0,0,61693,0
8861,12524,6772,0,0,0,0,0,0,28157,0
9370,8775,9288,0,0,0,0,0,0,27433,0
7810,7317,5045,0,0,0,0,0,0,20172,0
8671,9510,14131,0,0,0,0,0,0,32312,0
17063,10431,0,0,0,0,0,0,0,27494,0
16970,12736,0,0,0,0,0,0,0,29706,0
19064,10900,0,0,0,0,0,0,0,29964,0
15660,11170,0,0,0,0,0,0,0,26830,0
14219,12740,11656,9687,892,0,0,0,0,49194,0
19322,17599,0,0,0,0,0,0,0,36921,0
9382,8959,9965,0,0,0,0,0,0,28306,0
11469,13021,14044,12914,6179,0,0,0,0,57627,0
12553,11845,0,0,0,0,0,0,0,24398,0
10372,9570,9286,0,0,0,0,0,0,29228,0
9524,11569,11606,11843,9135,0,0,0,0,53677,0
10360,10438,12582,0,0,0,0,0,0,33380,0
9604,15451,11846,12014,7545,0,0,0,0,56460,0
12193,9451,5965,0,0,0,0,0,0,27609,0
12031,15574,13027,16502,7161,0,0,0,0,64295,0
17603,21906,15886,0,0,0,0,0,0,55395,0
13315,14188,10252,0,0,0,0,0,0,37755,0
10260,13743,10800,10922,7414,0,0,0,0,53139,0
9160,10585,7219,0,0,0,0,0,0,26964,0
12956,12314,7207,0,0,0,0,0,0,32477,0
9340,10363,13624,16785,3718,0,0,0,0,53830,0
9739,10483,10559,10886,10400,5832,0,0,0,57899,0
12206,13486,15261,9282,5791,0,0,0,0,56026,0
7666,13538,11699,13500,12434,0,0,0,0,58837,0
9782,15174,15291,11735,0,0,0,0,0,51982,0
7831,8159,9465,0,0,0,0,0,0,25455,0
7420,10247,9555,12740,8008,0,0,0,0,47970,0
13334,8904,7472,0,0,0,0,0,0,29710,0
11126,12798,10624,9816,9549,0,0,0,0,53913,0
12244,11069,10359,11140,8603,0,0,0,0,53415,0
8619,13018,16573,13082,0,0,0,0,0,51292,0
8241,11043,7989,0,0,0,0,0,0,27273,0
9703,11959,12835,13316,8809,0,0,0,0,56622,0
7775,8838,8881,11528,11357,0,0,0,0,48379,0
9008,14038,12197,12810,7900,0,0,0,0,55953,0
11145,12233,13587,11423,3851,0,0,0,0,52239,0
11737,10602,10926,0,0,0,0,0,0,33265,0
10625,12309,13440,11061,11572,0,0,0,0,59007,0
8910,8055,14400,13019,9068,0,0,0,0,53452,0
9973,14052,15685,14129,0,0,0,0,0,53839,0
9530,10158,12883,0,0,0,0,0,0,32571,0
16781,12889,0,0,0,0,0,0,0,29670,0
10847,9147,1475,0,0,0,0,0,0,21469,0
9751,9426,22411,18429,0,0,0,0,0,60017,0
25024,16951,12232,4694,0,0,0,0,0,58901,0
12172,14866,0,0,0,0,0,0,0,27038,0
6375,6460,8078,0,0,0,0,0,0,20913,0
9327,11046,12083,13559,13015,0,0,0,0,59030,0
13217,10776,3065,0,0,0,0,0,0,27058,0
14159,13380,12273,13769,7173,0,0,0,0,60754,0
11213,10767,12654,11186,7473,0,0,0,0,53293,0
9599,8838,9929,0,0,0,0,0,0,28366,0
10503,12933,13877,11950,13678,0,0,0,0,62941,0
9590,10784,11838,11651,13357,4495,0,0,0,61715,0
8583,12603,10198,8980,7929,0,0,0,0,48293,0
10727,11123,11986,9234,7997,0,0,0,0,51067,0
10062,10401,11673,0,0,0,0,0,0,32136,0
8501,11442,14759,9814,6094,0,0,0,0,50610,0
12553,13547,0,0,0,0,0,0,0,26100,0
9627,10356,10954,0,0,0,0,0,0,30937,0
8636,11087,8437,0,0,0,0,0,0,28160,0
12630,14120,0,0,0,0,0,0,0,26750,0
8146,9509,7273,0,0,0,0,0,0,24928,0
18909,9717,0,0,0,0,0,0,0,28626,0
8864,9931,10399,0,0,0,0,0,0,29194,0
7619,6691,11645,0,0,0,0,0,0,25955,0
16030,11831,0,0,0,0,0,0,0,27861,0
9321,11710,9986,8146,6792,0,0,0,0,45955,0
0,11141,11234,14306,13859,0,0,0,0,50540,0
11811,14442,12863,10016,0,0,0,0,0,49132,0
9991,9650,9344,0,0,0,0,0,0,28985,0
8239,10779,10515,0,0,0,0,0,0,29533,0
10264,15555,0,0,0,0,0,0,0,25819,0
8757,8975,9498,9338,8931,0,0,0,0,45499,0
9769,13033,10926,12719,6273,0,0,0,0,52720,0
8136,7779,9089,0,0,0,0,0,0,25004,0
10225,7955,7715,0,0,0,0,0,0,25895,0
11990,9208,9907,0,0,0,0,0,0,31105,0
13840,13430,11190,13107,12128,0,0,0,0,63695,0
12060,16539,0,0,0,0,0,0,0,28599,0
10170,9525,10440,9002,5813,0,0,0,0,44950,0
9952,10877,13064,12670,8900,0,0,0,0,55463,0
8725,9508,11125,10393,10456,0,0,0,0,50207,0
8865,8694,8758,0,0,0,0,0,0,26317,0
9351,11396,10714,16532,0,0,0,0,0,47993,0
13136,9424,5946,0,0,0,0,0,0,28506,0
10910,12624,7541,0,0,0,0,0,0,31075,0
12132,11629,12016,6640,0,0,0,0,0,42417,0
7906,13915,10204,3798,0,0,0,0,0,35823,0
8269,9135,12854,7587,0,0,0,0,0,37845,0
8147,8865,7818,175,0,0,0,0,0,25005,0
8041,8843,10191,7257,0,0,0,0,0,34332,0
7694,7859,9054,5742,0,0,0,0,0,30349,0
15185,13547,0,0,0,0,0,0,0,28732,0
