Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
7449,2185,25,Pregnacy,10/5/2021,0,0,0,3,183,132,1,132,132,ROBERTO-MANUEL,MARADONA,0,11/25/2021,0,8365,4990
7454,5690,13,Pregnacy,9/2/2021,30.8,34.9,-12,3,216,160,1,160,160,ROBERTO-MANUEL,SILVER INFOCUS,0,10/28/2021,49.7,9175,8914
7464,3349,19,Heat,1/23/2022,58.3,58.7,-1,3,73,53,0,0,0,0,0,0,0,0,13202,3801
7476,5691,30,Pregnacy,2/22/2021,22.8,22.4,2,2,408,111,10,111,111,CARLOS-MAURICIO,INFOCUS GOLD,0,12/16/2021,42.6,12964,12495
7487,2076,20,Labor,2/26/2022,61.5,58.1,6,3,39,0,0,0,0,0,0,0,0,0,12780,1654
7494,6236,13,Pregnacy,9/14/2021,25.8,26.1,-1,3,204,146,1,146,146,CARLOS-MAURICIO,VIEWPOINT,0,11/11/2021,45,7750,7403
7496,8105,20,Insemination,1/9/2022,47.3,46.3,2,3,87,11,2,11,0,JUAN DELGADO-JAIME,FALCO,0,3/26/2022,0,11332,3412
7501,7182,24,Pregnacy,9/24/2021,42,39.9,5,3,194,125,1,125,125,ROBERTO-MANUEL,MARADONA,0,12/2/2021,44.6,8272,7349
7509,5581,24,Pregnacy,9/23/2021,39,36.2,8,3,195,134,1,134,134,ROBERTO-MANUEL,MARADONA,0,11/23/2021,43.5,7365,7419
7514,6967,23,Pregnacy,10/19/2021,46.6,45.7,2,2,169,54,4,54,54,CARLOS-JEHU,MUSTSEE,0,2/11/2022,56.8,17159,7289
7521,6917,19,Insemination,1/3/2022,63.2,60.3,5,3,93,40,1,40,0,CARLOS-JEHU,KEYNOTE,0,2/25/2022,0,14181,5617
7524,7327,26,Pregnacy,8/27/2021,41.6,40.4,3,3,222,73,5,73,73,ROBERTO-MANUEL,INFOCUS GOLD,0,1/23/2022,51.3,9675,9444
7526,6998,24,Pregnacy,9/25/2021,39.2,40.8,-4,3,193,140,1,140,140,CARLOS-URIEL,FASTDRAW,0,11/17/2021,52.3,6646,8446
7527,6495,24,Pregnacy,9/19/2021,43.7,41.7,5,3,199,116,1,116,116,ROBERTO-MANUEL,MARADONA,0,12/11/2021,50.9,8486,8617
7528,4904,13,Pregnacy,12/19/2020,2.1,4.3,-52,2,473,189,7,189,189,DAVID-MANUEL,SILVER INFOCUS,1,9/29/2021,44.4,9728,14295
7531,5930,20,Heat,3/5/2022,45.1,42.8,5,3,32,13,0,0,0,0,0,0,0,0,9009,1072
7532,7128,15,Pregnacy,10/25/2021,40.5,44.4,-9,3,163,74,1,74,74,CARLOS-JEHU,EXPO,0,1/22/2022,48.7,8298,5808
7533,7037,26,Pregnacy,9/1/2021,30.9,31.3,-1,3,217,115,2,115,115,CARLOS-JEHU,VIEWPOINT,0,12/12/2021,46.2,7553,8326
7537,4786,15,Insemination,11/3/2021,46.5,45,3,3,154,38,3,38,0,URIEL-JEHU,MUSTSEE,0,2/27/2022,56.8,11606,7343
7538,1631,15,Pregnacy,10/24/2021,49.2,43.8,12,3,164,111,1,111,111,CARLOS-MAURICIO,MUSTSEE,0,12/16/2021,51.4,8013,6814
7541,6712,19,Insemination,1/15/2022,51.5,53.2,-3,3,81,27,1,27,0,DAVID-MANUEL,FASTDRAW,0,3/10/2022,0,8682,3890
7542,2463,24,Pregnacy,9/21/2021,45.7,43.8,4,3,197,127,2,127,127,ROBERTO-MANUEL,FASTDRAW,0,11/30/2021,47.4,9171,8231
7547,2376,20,Labor,2/16/2022,46.6,47.9,-3,3,49,0,0,0,0,0,0,0,0,0,7372,2101
7553,597,21,Labor,3/21/2022,47.2,47.5,-1,3,16,0,0,0,0,0,0,0,0,0,11348,514
7555,7158,23,Pregnacy,10/13/2021,42.8,42.6,0,3,175,126,1,126,126,CARLOS-MAURICIO,FASTDRAW,0,12/1/2021,0,9490,5639
7557,6150,23,Pregnacy,10/12/2021,35.9,37.2,-3,3,176,81,1,81,81,CARLOS-URIEL,MARADONA,0,1/15/2022,0,7651,4890
7558,6473,15,Pregnacy,10/31/2021,42.1,50.3,-16,3,157,104,1,104,104,DAVID-JEHU,INFOCUS GOLD,0,12/23/2021,0,8829,4546
7559,837,24,Pregnacy,9/25/2021,49.9,48.6,3,2,193,88,3,88,88,ROBERTO-MANUEL,MUSTSEE,0,1/8/2022,54,15748,8807
7563,6568,15,Pregnacy,11/7/2021,45.6,46.2,-1,3,150,97,1,97,97,CARLOS-JEHU,MARADONA,0,12/30/2021,51,10002,6331
7564,7353,13,Pregnacy,3/24/2021,29.9,30,0,2,378,183,6,183,183,CARLOS-JEHU,OLAF,0,10/5/2021,46.4,11810,14237
7568,6558,3,Pregnacy,9/15/2021,42.3,41.3,2,3,203,146,1,146,146,CARLOS-MAURICIO,MUSTSEE,0,11/11/2021,53.6,10750,9285
7570,7983,18,Pregnacy,12/29/2021,48.9,43,14,3,98,39,1,39,39,CARLOS-URIEL,KEYNOTE,0,2/26/2022,0,8893,4249
7572,1113,13,Pregnacy,9/22/2021,28.9,30.6,-5,3,196,148,1,148,148,CARLOS-URIEL,UNCHARTED,0,11/9/2021,47.7,8031,7498
7578,6188,23,Pregnacy,10/13/2021,36.8,33.8,9,3,175,76,3,76,76,CARLOS-JEHU,EXPO,0,1/20/2022,0,8241,4772
7583,5207,28,Pregnacy,7/11/2021,41.9,41.5,1,2,269,61,5,61,61,CARLOS-JEHU,INFOCUS GOLD,0,2/4/2022,51,15200,11250
7589,5547,24,Pregnacy,9/16/2021,41.9,46.3,-10,3,202,89,3,89,89,CARLOS-JEHU,RHETORIC,0,1/7/2022,49,9324,8687
7592,7533,19,Insemination,1/13/2022,56.6,49.7,14,3,83,26,1,26,0,DAVID-MANUEL,EXPO,0,3/11/2022,0,7091,3486
7595,8051,19,Insemination,1/14/2022,56.1,59.1,-5,3,82,2,2,2,0,URIEL-JEHU,MUSTSEE,0,4/4/2022,0,11490,4356
7597,2912,20,Labor,2/20/2022,57.1,56.4,1,3,45,0,0,0,0,0,0,0,0,0,11197,2246
7599,1598,17,Pregnacy,11/27/2021,57,58.5,-3,3,130,41,1,41,41,CARLOS-JEHU,MARADONA,0,2/24/2022,0,11187,7140
7606,5509,28,Insemination,7/14/2021,41.7,43.7,-5,2,266,18,3,18,0,CARLOS-URIEL,MUSTSEE,1,3/19/2022,50,17650,11118
7612,7438,15,Pregnacy,11/13/2021,37.6,35,7,3,144,89,1,89,89,CARLOS-JEHU,MUSTSEE,0,1/7/2022,0,8098,5088
7617,2557,15,Pregnacy,10/29/2021,27.8,26.3,6,3,159,104,1,104,104,CARLOS-JEHU,FASTDRAW,0,12/23/2021,41.5,7512,5008
7618,7652,3,Pregnacy,10/28/2021,25,42.3,-41,3,160,104,1,104,104,CARLOS-JEHU,FASTDRAW,0,12/23/2021,0,13670,6019
7619,7134,17,Insemination,12/2/2021,56.3,56,1,3,125,22,2,22,0,CARLOS-JEHU,FASTDRAW,0,3/15/2022,0,11060,6284
7628,6109,21,Labor,3/10/2022,40.3,36,12,3,27,0,0,0,0,0,0,0,0,0,7285,829
7638,4894,20,Labor,3/4/2022,45.9,47.9,-4,3,33,0,0,0,0,0,0,0,0,0,8963,1202
7639,8002,18,Insemination,12/26/2021,56,52.9,6,3,101,25,2,25,0,CARLOS-MAURICIO,MUSTSEE,0,3/12/2022,0,11475,5109
7645,1873,23,Pregnacy,10/17/2021,36.1,34.2,5,3,171,39,2,39,39,CARLOS-URIEL,KEYNOTE,0,2/26/2022,46.5,7354,5477
7647,0,29,Pregnacy,4/18/2021,0,0,0,2,353,130,8,130,130,CARLOS-URIEL,INFOCUS GOLD,0,11/27/2021,53.4,15152,13226
7650,5621,20,Insemination,2/6/2022,66.9,62.3,7,3,59,6,1,6,0,ROBERTO-DAVID,OGDEN,0,3/31/2022,0,10603,3135
7656,6525,23,Insemination,10/11/2021,47.8,46.2,4,2,177,18,3,18,0,ROBERTO-MANUEL,OGDEN,1,3/19/2022,0,15273,6038
7657,7185,17,Pregnacy,11/30/2021,53.2,50.1,6,3,127,68,1,68,68,CARLOS-MAURICIO,MUSTSEE,0,1/28/2022,0,7865,6079
7658,1748,30,Pregnacy,6/17/2021,33.8,29,16,2,293,112,5,112,112,ROBERTO-MANUEL,MARADONA,0,12/15/2021,44.1,12508,9483
7663,6045,15,Pregnacy,10/30/2021,50.3,52.4,-4,3,158,102,1,102,102,CARLOS-URIEL,MUSTSEE,0,12/25/2021,64.8,11348,7575
7666,7947,17,Insemination,12/4/2021,42.5,41.9,2,3,123,8,3,8,0,CARLOS-JEHU,MUSTSEE,0,3/29/2022,0,11720,4348
7668,7057,15,Pregnacy,11/5/2021,36.9,32,15,3,152,97,1,97,97,DAVID-MANUEL,KEYNOTE,0,12/30/2021,50.1,9348,6127
7678,0,30,No_Inseminate,12/15/2020,0,0,0,2,477,175,1,412,0,MIGUEL-MAURICIO,TORRO,1,2/18/2021,50.5,9375,17236
7684,6522,15,Pregnacy,11/3/2021,27.4,37.5,-27,3,154,97,1,97,97,DAVID-MANUEL,MARADONA,0,12/30/2021,45.2,8198,5716
7690,7178,18,Pregnacy,1/1/2022,46.6,45.6,2,3,95,40,1,40,40,CARLOS-JEHU,FASTDRAW,0,2/25/2022,0,8654,3800
7691,6957,24,Insemination,9/11/2021,34.3,34.8,-1,3,207,28,7,28,0,ROBERTO-MANUEL,INFOCUS GOLD,0,3/9/2022,43.6,8015,7543
7696,7510,20,Insemination,2/4/2022,60,56.9,6,3,61,6,1,6,0,ROBERTO-DAVID,OGDEN,0,3/31/2022,0,10500,1525
7697,7483,25,Pregnacy,9/26/2021,47.7,46.1,3,2,192,125,1,125,125,ROBERTO-MANUEL,FASTDRAW,0,12/2/2021,56,17597,9177
7701,7431,30,Pregnacy,4/1/2021,21.8,20.7,5,2,370,113,6,113,113,ROBERTO-MANUEL,MUSTSEE,0,12/14/2021,50.1,12202,12901
7702,595,28,Pregnacy,7/11/2021,45.8,46,0,2,269,122,3,122,122,CARLOS-URIEL,MUSTSEE,0,12/5/2021,55.7,16861,11930
7706,5497,13,Pregnacy,7/21/2021,28.7,34.1,-16,2,259,158,3,158,158,CARLOS-JEHU,MARADONA,0,10/30/2021,46.7,16031,9801
7718,7475,30,Pregnacy,3/31/2021,26.2,25.4,3,2,371,114,7,114,114,ROBERTO-DAVID,KEYNOTE,0,12/13/2021,44.8,11744,12083
7719,7752,3,Insemination,12/11/2021,38.5,38.8,-1,3,116,58,1,58,0,JUAN DELGADO-JEHU,FASTDRAW,0,2/7/2022,0,8954,5086
7720,3104,20,Heat,2/26/2022,48.7,49.2,-1,3,39,5,0,0,0,0,0,0,0,0,10743,1507
7721,7663,17,Pregnacy,12/4/2021,45.8,45.8,0,3,123,68,1,68,68,CARLOS-MAURICIO,FASTDRAW,0,1/28/2022,0,7616,5361
7735,3706,23,Pregnacy,10/14/2021,50,50.9,-2,3,174,53,2,53,53,CARLOS-URIEL,MUSTSEE,0,2/12/2022,64.6,9476,7936
7737,3605,15,Pregnacy,11/13/2021,37.4,41.3,-9,3,144,56,2,56,56,CARLOS-JEHU,EXPO,0,2/9/2022,0,6641,5361
7742,7093,28,Pregnacy,7/11/2021,41.2,38.8,6,2,269,136,3,136,136,CARLOS-URIEL,FASTDRAW,0,11/21/2021,51.8,14432,11113
7744,7876,18,Insemination,12/17/2021,39.7,40.1,-1,3,110,37,2,37,0,URIEL-JEHU,EXPO,0,2/28/2022,0,8961,3873
7747,5610,23,Pregnacy,10/16/2021,43.7,41.5,5,2,172,53,2,53,53,CARLOS-URIEL,MUSTSEE,0,2/12/2022,0,12615,6410
7748,6639,15,Insemination,10/30/2021,57.8,43.8,32,2,158,25,2,25,0,CARLOS-MAURICIO,FALCO,0,3/12/2022,56.8,16652,7028
7749,3682,15,Insemination,11/12/2021,51.8,42,23,3,145,27,3,27,0,CARLOS-JEHU,EXPO,0,3/10/2022,0,8694,6046
7750,4968,25,Pregnacy,10/3/2021,34.3,34.4,0,3,185,85,2,85,85,ROBERTO-MANUEL,MARADONA,0,1/11/2022,41.6,7541,6540
7753,5875,17,Pregnacy,11/8/2021,43.9,41.2,6,3,149,72,2,72,72,URIEL-JEHU,MUSTSEE,0,1/24/2022,0,8512,6378
7754,0,19,Insemination,1/12/2022,0,0,0,3,84,26,1,26,0,DAVID-MANUEL,EXPO,0,3/11/2022,0,9002,2253
7760,7311,23,Insemination,10/10/2021,35.5,35.5,0,3,178,26,4,26,0,CARLOS-JEHU,INFOCUS GOLD,1,3/11/2022,0,11479,5341
7764,1767,19,Insemination,1/28/2022,51.9,52.4,-1,3,68,12,1,12,0,CARLOS-JEHU,FALCO,0,3/25/2022,0,9992,3064
7767,3280,23,Pregnacy,10/19/2021,48.5,48,1,3,169,117,1,117,117,CARLOS-JEHU,MUSTSEE,0,12/10/2021,0,9543,6172
7771,2560,23,Pregnacy,10/9/2021,49.1,47,4,3,179,94,2,94,94,CARLOS-JEHU,EXPO,0,1/2/2022,0,8851,6634
7774,6760,13,Pregnacy,6/10/2021,23.6,25.7,-8,2,300,165,2,165,165,CARLOS-JEHU,SILVER INFOCUS,0,10/23/2021,42.8,13495,9341
7775,5155,20,Heat,2/4/2022,49.8,50.2,-1,3,61,19,0,0,0,0,0,0,0,0,10399,2552
7781,7006,13,Pregnacy,1/20/2021,22.1,21.5,3,2,441,154,7,154,154,DAVID-MANUEL,INFOCUS GOLD,1,11/3/2021,47.4,10294,15668
7785,1404,23,Pregnacy,10/16/2021,45.7,43.6,5,3,172,84,2,84,84,CARLOS-JEHU,FASTDRAW,0,1/12/2022,0,9472,5630
7802,4933,18,Insemination,12/14/2021,46.4,46.4,0,3,113,31,2,31,0,CARLOS-JEHU,MUSTSEE,0,3/6/2022,0,9348,5056
7803,6872,17,Pregnacy,12/9/2021,42.2,44.9,-6,3,118,72,1,72,72,URIEL-JEHU,KEYNOTE,0,1/24/2022,0,9941,5130
7815,0,18,Insemination,12/29/2021,0,0,0,3,98,18,2,18,0,CARLOS-URIEL,FALCO,0,3/19/2022,0,11544,4217
7819,7273,19,Insemination,1/8/2022,45.6,44.6,2,3,88,4,2,4,0,CARLOS-URIEL,FASTDRAW,0,4/2/2022,0,8614,3314
7823,7766,18,Insemination,12/19/2021,49.4,49.4,0,3,108,33,2,33,0,CARLOS-JEHU,MUSTSEE,0,3/4/2022,0,9855,4874
7824,6706,17,Insemination,11/30/2021,55.1,52.6,5,3,127,21,2,21,0,CARLOS-JEHU,FASTDRAW,0,3/16/2022,0,9896,6357
7829,6309,25,Pregnacy,10/4/2021,39.3,39.6,-1,3,184,44,5,44,44,URIEL-JEHU,INFOCUS GOLD,0,2/21/2022,51.5,11192,7772
7835,7744,3,Insemination,12/2/2021,57.7,56.4,2,2,125,13,1,13,0,CARLOS-JEHU,FASTDRAW,0,3/24/2022,0,20420,5916
7838,2479,21,Labor,3/15/2022,38.6,34.5,12,3,22,0,0,0,0,0,0,0,0,0,9549,695
7844,6863,13,Pregnacy,2/16/2021,17.4,16.1,9,2,414,157,9,157,157,ROBERTO-MANUEL,INFOCUS GOLD,0,10/31/2021,49.3,10444,13563
7848,5212,19,Insemination,1/7/2022,42.8,47,-9,3,89,20,1,20,0,CARLOS-JEHU,FALCO,0,3/17/2022,0,8523,3887
7849,7757,18,Insemination,12/14/2021,52.5,52.7,0,3,113,1,3,1,0,CARLOS-JEHU,SCORPIO,0,4/5/2022,0,8306,5567
7850,4817,20,Heat,2/25/2022,52,49.8,5,3,40,4,0,0,0,0,0,0,0,0,12058,1617
7851,97,29,Pregnacy,5/7/2021,39.5,40.3,-2,2,334,82,6,82,82,CARLOS-JEHU,INFOCUS GOLD,0,1/14/2022,50.5,11898,13652
7853,7176,21,Heat,3/10/2022,46.1,42.5,8,3,27,4,0,0,0,0,0,0,0,0,12624,546
7859,1865,19,Insemination,1/18/2022,54.4,53.9,1,3,78,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,8001,3817
7860,6666,22,Pregnacy,11/11/2021,44.5,44,1,3,146,89,1,89,89,CARLOS-JEHU,RHETORIC,0,1/7/2022,0,9454,5229
7861,6010,15,Insemination,10/24/2021,33.1,32.3,2,3,164,20,3,20,0,CARLOS-JEHU,FASTDRAW,0,3/17/2022,0,8654,3892
7862,7574,19,Labor,1/29/2022,50,52.6,-5,3,67,0,0,0,0,0,0,0,0,0,10069,2801
7869,3720,19,Pregnacy,1/4/2022,44.9,44.9,0,3,92,39,1,39,39,CARLOS-URIEL,EXPO,0,2/26/2022,0,9154,3816
7874,3514,24,Pregnacy,9/18/2021,36.4,37.6,-3,2,200,115,2,115,115,ROBERTO-MAURICIO,MARADONA,0,12/12/2021,50.3,15810,8557
7876,7754,17,Pregnacy,12/13/2021,55.4,58.7,-6,3,114,37,2,37,37,URIEL-JEHU,FASTDRAW,0,2/28/2022,0,10332,5926
7886,5797,13,Pregnacy,5/25/2021,26.3,24.1,9,2,316,180,4,180,180,CARLOS-JEHU,SILVER INFOCUS,0,10/8/2021,44.3,10047,11711
7888,7391,30,Pregnacy,3/20/2021,28.7,27.2,5,2,382,103,8,103,103,MIGUEL-JAIME,INFOCUS GOLD,1,12/24/2021,45,10810,13484
7890,6421,15,Pregnacy,11/10/2021,37.9,39.8,-5,3,147,83,1,83,83,MVZ ROGELIO-JEHU,MUSTSEE,0,1/13/2022,0,7639,5041
7891,572,30,Pregnacy,4/4/2021,22.3,21.5,3,2,367,124,7,124,124,DAVID-MANUEL,VIEWPOINT,1,12/3/2021,41.3,9113,11372
7896,0,29,Pregnacy,5/31/2021,0,0,0,2,310,110,3,110,110,DAVID-MANUEL,INFOCUS GOLD,0,12/17/2021,46.8,10628,11318
7899,0,26,Pregnacy,8/25/2021,0,35.6,0,2,224,61,6,61,61,DAVID-MANUEL,INFOCUS GOLD,0,2/4/2022,46.8,16809,8627
7903,5114,17,Pregnacy,12/11/2021,37.3,43.3,-14,3,116,71,1,71,71,CARLOS-JEHU,KEYNOTE,0,1/25/2022,0,8243,5417
7909,3288,29,Pregnacy,6/28/2021,34.6,35.9,-4,2,282,101,3,101,101,ROBERTO-MANUEL,INFOCUS GOLD,0,12/26/2021,46.3,10359,10741
7911,1863,26,Insemination,8/13/2021,41,41.4,-1,2,236,25,2,25,0,ROBERTO-MANUEL,EXPO,0,3/12/2022,41.5,13428,8664
7912,3572,19,Insemination,1/5/2022,54.7,55.2,-1,3,91,33,1,33,0,CARLOS-JEHU,MUSTSEE,0,3/4/2022,0,9715,4357
7917,7687,17,Pregnacy,11/16/2021,42.4,45,-6,3,141,88,1,88,88,CARLOS-URIEL,EXPO,0,1/8/2022,0,8698,5353
7930,4921,13,Pregnacy,7/20/2021,26.2,25.6,2,2,260,186,1,186,186,CARLOS-URIEL,OLAF,0,10/2/2021,42.1,10757,8849
7934,5688,17,Pregnacy,11/29/2021,50.5,50.2,1,3,128,60,2,60,60,CARLOS-URIEL,KEYNOTE,0,2/5/2022,0,9658,6391
7942,7860,18,Pregnacy,12/19/2021,65,63.9,2,3,108,36,2,36,36,URIEL-JEHU,MARADONA,0,3/1/2022,0,12224,5991
7946,7962,18,Pregnacy,12/28/2021,39.2,41.4,-5,3,99,48,1,48,48,CARLOS-JEHU,FASTDRAW,0,2/17/2022,0,9265,3790
7950,5618,17,Pregnacy,12/3/2021,57.2,56.1,2,3,124,64,1,64,64,CARLOS-JEHU,EXPO,0,2/1/2022,0,4695,6799
7957,7605,20,Insemination,2/2/2022,63.7,59.8,6,3,63,4,1,4,0,ROBERTO-ADAN,MUSTSEE,0,4/2/2022,0,11627,3395
7959,5170,30,No_Inseminate,2/9/2021,26.5,25.4,4,2,421,40,9,67,0,CARLOS-JEHU,INFOCUS GOLD,0,1/29/2022,50.8,9472,15612
7967,5374,25,Insemination,9/27/2021,44.6,48.2,-7,2,191,26,6,26,0,DAVID-MANUEL,INFOCUS GOLD,0,3/11/2022,53.3,14689,8942
7969,6315,13,Pregnacy,7/25/2021,27.7,28.1,-1,2,255,151,3,151,151,CARLOS-URIEL,MUSTSEE,0,11/6/2021,40.9,10673,8716
7970,3554,18,Pregnacy,12/22/2021,63.5,62.1,2,3,105,41,1,41,41,CARLOS-JEHU,MARADONA,0,2/24/2022,0,11058,5805
7971,5857,26,Pregnacy,8/17/2021,36.9,39.8,-7,2,232,118,3,118,118,CARLOS-JEHU,EXPO,0,12/9/2021,52.6,13688,10373
7972,5342,3,Pregnacy,9/8/2021,35.2,32.7,7,2,210,128,2,128,128,JUAN DELGADO-URIEL,FASTDRAW,0,11/29/2021,47.7,15651,8414
7973,6377,17,Insemination,11/15/2021,39.1,39.1,0,3,142,17,4,17,0,CARLOS-JEHU,SCORPIO,0,3/20/2022,0,9543,4879
7975,6158,18,Pregnacy,12/26/2021,55.4,51.7,7,3,101,48,1,48,48,CARLOS-JEHU,FASTDRAW,0,2/17/2022,0,9822,4734
7982,0,13,Pregnacy,3/1/2021,0,27.1,0,2,401,203,4,203,203,CARLOS-JEHU,TORETTO,0,9/15/2021,45.5,7642,12579
7984,7292,17,Pregnacy,12/5/2021,49.6,48,3,3,122,77,1,77,77,ROBERTO-MANUEL,KEYNOTE,0,1/19/2022,0,8584,5159
7986,6958,19,Insemination,1/5/2022,58.1,58.4,0,2,91,4,1,4,0,CARLOS-URIEL,SCORPIO,0,4/2/2022,0,17731,4782
8001,8060,30,Insemination,12/23/2021,23.9,22.7,5,3,104,24,2,24,0,CARLOS-JEHU,MUSTSEE,0,3/13/2022,0,9151,2277
8005,1532,13,Pregnacy,7/15/2021,30.5,32.2,-5,2,265,208,1,208,208,CARLOS-JAIME,TORETTO,0,9/10/2021,47.8,10454,10171
8007,5861,21,Heat,3/8/2022,33.1,39.9,-17,3,29,9,0,0,0,0,0,0,0,0,8257,983
8014,4650,20,Heat,2/7/2022,53.4,49.7,8,3,58,20,0,0,0,0,0,0,0,0,9814,2434
8017,6182,13,Pregnacy,8/19/2021,29.3,29.6,-1,2,230,179,1,179,179,CARLOS-URIEL,EXPO,0,10/9/2021,47.6,11686,8866
8019,6441,27,Pregnacy,8/6/2021,33.6,34.2,-2,2,243,111,3,111,111,CARLOS-MAURICIO,FASTDRAW,0,12/16/2021,41.7,11300,8359
8021,7366,13,Pregnacy,3/14/2021,29.5,28,5,2,388,164,4,164,164,CARLOS-JEHU,SILVER INFOCUS,1,10/24/2021,44.9,8819,13875
8029,6838,24,Heat,9/20/2021,47.5,44.7,6,2,198,19,4,64,0,ROBERTO-MANUEL,EXPRESSO,0,2/1/2022,51,12224,8836
8030,343,20,Heat,2/12/2022,51.7,55.3,-6,3,53,13,0,0,0,0,0,0,0,0,9968,2404
8048,6401,19,Insemination,1/26/2022,48.5,49.6,-2,3,70,0,2,0,0,CARLOS-JEHU,MUSTSEE,0,4/6/2022,0,9277,2969
8050,5020,18,Pregnacy,1/2/2022,48.4,48.9,-1,3,94,40,1,40,40,CARLOS-JEHU,KEYNOTE,0,2/25/2022,0,9327,4218
8054,7108,17,Insemination,11/26/2021,57.8,54.1,7,2,131,11,2,11,0,CARLOS-URIEL,FASTDRAW,0,3/26/2022,0,17128,6494
8058,5637,25,Pregnacy,9/28/2021,34,33.7,1,2,190,65,3,65,65,ROBERTO-DAVID,EXPO,0,1/31/2022,0,14347,3514
8059,6617,13,Pregnacy,6/15/2021,33.5,33.4,0,2,295,175,3,175,175,CARLOS-JEHU,MARADONA,0,10/13/2021,47.5,8741,11690
8061,5004,29,Pregnacy,7/8/2021,30.3,29.8,2,2,272,71,5,71,71,CARLOS-JEHU,INFOCUS GOLD,0,1/25/2022,44.5,12975,10216
8065,5865,13,Pregnacy,5/23/2021,33,30.5,8,2,318,165,5,165,165,CARLOS-JEHU,SILVER INFOCUS,0,10/23/2021,44.8,10043,10791
8067,2952,19,Heat,1/29/2022,0,0,0,2,67,53,0,0,0,0,0,0,0,0,13872,426
8069,4835,30,No_Inseminate,7/18/2021,29.6,28.8,2,2,262,204,1,204,0,CARLOS-JEHU,BART,0,9/14/2021,41.1,9750,8664
8071,5805,30,Pregnacy,4/28/2021,22.3,21.8,3,2,343,135,7,135,135,JUAN DELGADO-URIEL,INFOCUS GOLD,0,11/22/2021,38.6,7953,10065
8073,4624,20,Labor,2/6/2022,0,0,0,3,59,0,0,0,0,0,0,0,0,0,10084,752
8081,5083,28,Pregnacy,7/16/2021,39.6,39.6,0,2,264,97,5,97,97,DAVID-MANUEL,INFOCUS GOLD,0,12/30/2021,46.7,10014,10244
8090,273,20,Labor,3/1/2022,43.7,46,-5,2,36,0,0,0,0,0,0,0,0,0,14638,1327
8095,3359,21,Labor,3/7/2022,47.8,44.3,8,3,30,0,0,0,0,0,0,0,0,0,9014,1049
8109,5443,26,Pregnacy,9/2/2021,32.4,30.7,6,2,216,114,3,114,114,URIEL-JEHU,VIEWPOINT,0,12/13/2021,39.6,12636,7307
8114,5667,29,Pregnacy,4/24/2021,33.6,35.3,-5,2,347,69,10,69,69,CARLOS-JEHU,INFOCUS GOLD,0,1/27/2022,43.3,9767,11415
8118,5742,25,No_Inseminate,10/7/2021,41.4,37.9,9,2,181,82,1,82,0,DAVID-MANUEL,EXPO,0,1/14/2022,0,15595,5501
8126,6975,13,Pregnacy,1/24/2021,2.4,3.3,-28,2,437,194,8,194,194,CARLOS-JEHU,SILVER INFOCUS,0,9/24/2021,40.6,7814,11879
8128,2619,20,Insemination,2/11/2022,52.1,50.9,2,3,54,2,1,2,0,ROBERTO-ADAN,OGDEN,0,4/4/2022,0,8645,2316
8129,6459,13,Pregnacy,7/24/2021,42.9,38.7,11,2,256,167,2,167,167,CARLOS-JEHU,MARADONA,0,10/21/2021,50,12788,10653
8130,5507,28,Pregnacy,7/26/2021,40.9,38.9,5,2,254,102,4,102,102,DAVID-MANUEL,INFOCUS GOLD,0,12/25/2021,44.1,8872,9729
8135,374,21,Labor,3/18/2022,52.6,47.8,10,3,19,0,0,0,0,0,0,0,0,0,11505,528
8140,7272,20,Heat,2/13/2022,61.1,60.9,0,3,52,9,0,0,0,0,0,0,0,0,7823,2852
8152,7589,19,Insemination,1/22/2022,33.4,36.9,-10,3,74,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,7262,2377
8158,7393,30,Pregnacy,3/21/2021,27.3,25.1,9,2,381,42,5,42,42,CARLOS-JEHU,INFOCUS GOLD,1,2/23/2022,48.9,9285,12959
8160,5569,19,Insemination,1/29/2022,45.1,48.1,-6,3,67,12,1,12,0,CARLOS-JEHU,MUSTSEE,0,3/25/2022,0,8742,2729
8164,2919,23,Insemination,10/15/2021,41.3,40.9,1,2,173,50,2,50,0,CARLOS-JEHU,FASTDRAW,0,2/15/2022,0,12079,6410
8170,5825,21,Labor,3/7/2022,44.5,43.1,3,3,30,0,0,0,0,0,0,0,0,0,8645,1052
8179,5410,24,Pregnacy,9/10/2021,44.5,52.1,-15,2,208,43,3,43,43,ROBERTO-MANUEL,EXPO,0,2/22/2022,58.3,15564,10237
8184,6026,28,Pregnacy,7/12/2021,31.3,33,-5,2,268,109,4,109,109,CARLOS-JEHU,EXPO,0,12/18/2021,40.6,10096,9342
8194,926,26,Pregnacy,9/2/2021,29.5,29.3,0,2,216,114,3,114,114,URIEL-JEHU,EXPO,0,12/13/2021,45.8,9806,7195
8195,5788,24,Insemination,9/8/2021,48.4,46.7,4,2,210,10,7,10,0,JUAN DELGADO-URIEL,INFOCUS GOLD,0,3/27/2022,50,12112,7997
