,id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
35,1234,1,1,1,1,1,0,0,0,0,0,0,8488,11573,6822,0,0,0,0,303,303,329,366,169,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
36,1244,1,1,1,1,1,1,0,0,0,8309,12154,13677,16865,10632,8391,0,0,0,274,343,362,476,288,187,0,0,0,0,0,0,0,0,0,-1,-1,-1
37,1249,1,1,1,1,1,0,0,0,0,0,0,8676,11898,5514,0,0,0,0,303,303,288,438,125,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1
38,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
39,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1
40,1307,1,1,1,1,1,0,0,0,0,11799,12412,12672,17083,13210,0,0,0,0,404,333,306,535,386,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1
41,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
42,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
43,1422,1,1,1,1,0,0,0,0,0,0,11170,11381,6914,0,0,0,0,0,303,297,310,217,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
44,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
45,1441,1,1,1,1,1,1,0,0,0,9965,12373,10823,12171,10028,8942,0,0,0,432,351,282,365,293,265,0,0,0,0,0,0,0,0,0,-1,-1,-1
46,1455,1,1,1,1,1,0,0,0,0,0,2014,10717,10478,5309,0,0,0,0,303,347,300,278,105,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
47,1456,1,1,1,1,1,1,0,0,0,8176,10477,10993,11847,12111,4184,0,0,0,277,325,358,358,450,109,0,0,0,0,0,0,0,1,0,-1,-1,-1
48,1474,1,1,1,1,1,1,0,0,0,8659,10955,11373,11423,9352,8084,0,0,0,294,305,286,339,270,189,0,0,0,0,0,0,0,0,1,-1,-1,-1
49,1484,1,1,1,1,0,0,0,0,0,0,14057,10368,3754,0,0,0,0,0,303,458,299,86,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
50,1504,1,1,1,1,0,0,0,0,0,0,11107,11755,5184,0,0,0,0,0,564,344,316,120,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
51,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
52,1509,1,1,1,1,1,0,0,0,0,17228,13121,12724,10388,9770,0,0,0,0,581,337,315,281,249,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1
53,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1
54,1531,1,1,1,1,1,0,0,0,0,12816,15074,9789,12502,14810,0,0,0,0,442,490,265,315,418,0,0,0,0,1,1,0,0,1,-1,-1,-1,-1
55,1581,1,1,1,1,0,0,0,0,0,0,11081,10793,8001,0,0,0,0,0,303,369,314,161,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
56,1596,1,1,1,1,1,1,0,0,0,11078,11716,11720,12155,14701,1332,0,0,0,386,277,287,404,424,36,0,0,0,0,0,0,0,0,0,-1,-1,-1
57,1619,1,1,1,1,0,0,0,0,0,0,8008,9862,4611,0,0,0,0,0,462,297,400,125,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
58,1642,1,1,1,1,1,1,0,0,0,11340,13257,14176,13087,12480,11884,0,0,0,316,335,346,284,278,277,0,0,0,0,0,0,0,0,0,-1,-1,-1
59,1643,1,1,1,1,0,0,0,0,0,0,12473,10684,2605,0,0,0,0,0,303,455,315,59,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
60,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
61,1667,1,1,1,1,0,0,0,0,0,0,8544,11023,4924,0,0,0,0,0,356,308,345,107,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
62,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1
63,1704,1,1,1,1,1,0,0,0,0,8668,10128,12248,14009,12289,0,0,0,0,269,290,347,514,364,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
64,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1
65,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1
66,1853,1,1,1,1,1,1,0,0,0,10267,12616,11521,14884,10967,6968,0,0,0,324,312,283,370,310,137,0,0,0,0,0,0,0,0,0,-1,-1,-1
67,1892,1,1,1,1,1,1,0,0,0,13109,10482,9651,9797,9273,5859,0,0,0,518,276,266,286,285,217,0,0,0,0,0,0,0,0,0,-1,-1,-1
68,1915,1,1,1,1,1,1,0,0,0,8061,10411,10828,13296,12055,6242,0,0,0,287,270,286,370,392,147,0,0,0,0,0,0,0,0,0,-1,-1,-1
69,1916,1,1,1,1,1,0,0,0,0,18130,13591,13177,14425,8101,0,0,0,0,619,317,361,401,187,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1
70,1937,1,1,1,1,1,0,0,0,0,11214,15355,15201,13575,8218,0,0,0,0,322,449,370,365,170,0,0,0,0,0,1,0,0,1,-1,-1,-1,-1
71,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,-1
72,1975,1,1,1,1,0,0,0,0,0,1584,8787,5616,6139,0,0,0,0,0,284,283,271,142,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
73,2015,1,1,1,1,0,0,0,0,0,1661,9661,9081,2801,0,0,0,0,0,269,352,284,63,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
74,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
75,2028,1,1,1,1,0,0,0,0,0,2833,10093,11391,904,0,0,0,0,0,255,270,343,27,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
76,2041,1,1,1,1,0,0,0,0,0,3165,8110,9038,1795,0,0,0,0,0,264,295,271,48,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
77,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
78,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
