"vaca","estado","estado_ginecol","fecha_de_naci","lact_n","del","inseminacion_lac_1","inseminacion_lac_2","inseminacion_lac_3","inseminacion_lac_4","inseminacion_lac_5","inseminacion_lac_6","inseminacion_lac_7","inseminacion_lac_8","inseminacion_lac_9"
5,"ordeno","prenez","9/16/2016",4,270,1,3,1,2,-1,-1,-1,-1,-1
9,"ordeno","celo","10/11/2016",4,258,1,3,1,2,-1,-1,-1,-1,-1
16,"ordeno","parto","11/15/2016",4,68,2,2,1,0,-1,-1,-1,-1,-1
27,"ordeno","celo","12/4/2017",3,53,2,5,0,-1,-1,-1,-1,-1,-1
121,"ordeno","prenez","8/6/2013",7,164,4,2,4,2,2,3,1,-1,-1
160,"ordeno","parto","8/19/2013",6,7,8,1,5,7,8,0,-1,-1,-1
190,"seca","prenez","8/24/2013",6,524,5,2,1,1,1,5,-1,-1,-1
219,"ordeno","parto","8/30/2013",7,110,5,1,1,2,3,1,0,-1,-1
222,"ordeno","prenez","8/31/2013",7,182,5,4,1,3,2,3,1,-1,-1
229,"ordeno","prenez","9/2/2013",7,150,2,2,2,7,3,2,1,-1,-1
252,"ordeno","parto","9/5/2013",6,19,9,6,4,3,10,0,-1,-1,-1
254,"ordeno","inseminacion","9/5/2013",6,300,6,1,2,3,7,5,-1,-1,-1
297,"ordeno","prenez","9/17/2013",7,133,2,4,4,1,3,2,2,-1,-1
301,"ordeno","prenez","9/17/2013",7,284,1,3,4,2,1,1,2,-1,-1
437,"ordeno","inseminacion","10/13/2013",6,95,1,2,2,8,5,1,-1,-1,-1
465,"ordeno","inseminacion","10/18/2013",7,107,1,6,2,2,3,6,1,-1,-1
508,"ordeno","prenez","10/23/2013",7,182,3,4,3,1,1,3,1,-1,-1
557,"seca","prenez","11/1/2013",6,462,2,1,1,2,3,5,-1,-1,-1
585,"ordeno","celo","11/7/2013",6,236,1,4,2,4,6,6,-1,-1,-1
619,"ordeno","para_no_inseminar","11/16/2013",6,273,1,6,7,2,1,1,-1,-1,-1
623,"ordeno","prenez","11/17/2013",7,204,4,1,3,1,2,1,1,-1,-1
629,"ordeno","prenez","11/19/2013",6,484,3,2,1,1,2,7,-1,-1,-1
660,"ordeno","parto","11/24/2013",7,21,1,1,3,2,4,3,0,-1,-1
700,"ordeno","prenez","12/5/2013",7,253,3,1,1,2,1,1,2,-1,-1
759,"ordeno","pd-inseminacion","12/18/2013",6,101,3,2,4,3,2,1,-1,-1,-1
857,"ordeno","prenez","1/5/2014",5,500,9,5,1,2,8,-1,-1,-1,-1
873,"ordeno","inseminacion","1/9/2014",6,273,1,5,1,1,6,7,-1,-1,-1
901,"ordeno","prenez","1/17/2014",7,224,3,1,1,2,3,2,3,-1,-1
975,"ordeno","inseminacion","2/12/2014",6,212,4,4,4,5,1,5,-1,-1,-1
991,"ordeno","prenez","2/17/2014",6,349,2,1,2,6,4,3,-1,-1,-1
993,"ordeno","prenez","2/19/2014",5,244,2,2,9,11,2,-1,-1,-1,-1
1036,"ordeno","inseminacion","3/14/2014",4,322,7,4,11,8,-1,-1,-1,-1,-1
1122,"ordeno","celo","5/10/2014",6,37,5,2,1,4,6,0,-1,-1,-1
1151,"ordeno","inseminacion","5/22/2014",6,135,1,4,9,5,3,3,-1,-1,-1
1233,"ordeno","parto","6/30/2014",6,10,1,6,2,7,4,0,-1,-1,-1
1234,"ordeno","inseminacion","11/6/2015",5,176,1,1,1,4,3,-1,-1,-1,-1
1244,"ordeno","prenez","7/3/2014",6,194,1,2,3,6,1,2,-1,-1,-1
1249,"ordeno","prenez","11/10/2015",5,132,1,1,1,4,1,-1,-1,-1,-1
1255,"ordeno","inseminacion","11/13/2015",5,147,1,0,1,1,3,-1,-1,-1,-1
1262,"ordeno","inseminacion","11/15/2015",5,287,1,1,2,1,6,-1,-1,-1,-1
1307,"seca","prenez","7/15/2014",5,387,4,2,2,6,3,-1,-1,-1,-1
1354,"ordeno","prenez","8/3/2014",6,152,3,1,3,5,3,2,-1,-1,-1
1362,"ordeno","prenez","12/20/2015",5,629,1,0,1,4,1,-1,-1,-1,-1
1422,"ordeno","prenez","1/14/2016",4,224,1,2,1,1,-1,-1,-1,-1,-1
1437,"ordeno","prenez","1/19/2016",5,142,1,1,4,2,1,-1,-1,-1,-1
1441,"ordeno","prenez","8/20/2014",6,272,7,4,1,4,2,4,-1,-1,-1
1455,"ordeno","prenez","1/25/2016",5,112,1,0,2,1,1,-1,-1,-1,-1
1456,"ordeno","celo","8/23/2014",6,116,1,2,5,2,3,1,-1,-1,-1
1474,"ordeno","celo","8/27/2014",6,196,2,2,1,2,1,2,-1,-1,-1
1484,"ordeno","inseminacion","2/11/2016",4,93,1,8,1,1,-1,-1,-1,-1,-1
1504,"ordeno","inseminacion","2/25/2016",4,127,0,3,3,2,-1,-1,-1,-1,-1
1507,"ordeno","prenez","2/27/2016",4,266,0,1,1,5,-1,-1,-1,-1,-1
1509,"ordeno","inseminacion","9/2/2014",5,256,10,4,2,1,7,-1,-1,-1,-1
1527,"ordeno","prenez","9/6/2014",5,312,5,4,3,5,2,-1,-1,-1,-1
1531,"seca","prenez","9/7/2014",5,419,7,8,1,2,4,-1,-1,-1,-1
1581,"ordeno","inseminacion","5/5/2016",4,168,1,5,4,4,-1,-1,-1,-1,-1
1596,"ordeno","parto","9/19/2014",6,43,5,1,1,4,5,0,-1,-1,-1
1619,"ordeno","prenez","6/26/2016",4,132,0,1,5,1,-1,-1,-1,-1,-1
1642,"ordeno","prenez","9/24/2014",6,284,2,3,3,1,1,2,-1,-1,-1
1643,"ordeno","inseminacion","7/27/2016",4,66,1,6,2,2,-1,-1,-1,-1,-1
1648,"ordeno","inseminacion","9/25/2014",5,291,6,6,6,2,6,-1,-1,-1,-1
1667,"ordeno","inseminacion","8/10/2016",4,114,0,1,2,2,-1,-1,-1,-1,-1
1682,"ordeno","prenez","9/4/2016",4,134,1,3,4,1,-1,-1,-1,-1,-1
1704,"seca","prenez","10/4/2014",5,365,1,1,3,8,3,-1,-1,-1,-1
1727,"ordeno","inseminacion","10/8/2014",6,216,2,2,2,1,1,4,-1,-1,-1
1791,"ordeno","prenez","10/18/2014",6,137,1,3,3,4,1,1,-1,-1,-1
1853,"ordeno","prenez","10/26/2014",6,144,3,2,1,3,1,1,-1,-1,-1
1892,"ordeno","prenez","11/4/2014",6,224,8,1,1,1,2,6,-1,-1,-1
1915,"ordeno","inseminacion","11/7/2014",6,154,1,1,1,4,5,3,-1,-1,-1
1916,"ordeno","prenez","11/7/2014",5,194,8,1,5,4,1,-1,-1,-1,-1
1937,"ordeno","inseminacion","11/10/2014",5,177,3,5,3,2,2,-1,-1,-1,-1
1968,"ordeno","prenez","11/14/2014",4,302,9,6,7,2,-1,-1,-1,-1,-1
1975,"ordeno","inseminacion","3/13/2017",4,149,0,1,1,4,-1,-1,-1,-1,-1
2015,"ordeno","inseminacion","4/12/2017",4,70,0,4,1,1,-1,-1,-1,-1,-1
2022,"ordeno","prenez","4/28/2017",4,106,0,2,2,2,-1,-1,-1,-1,-1
2028,"ordeno","parto","5/2/2017",4,34,0,1,4,0,-1,-1,-1,-1,-1
2041,"ordeno","inseminacion","5/20/2017",4,55,0,1,1,1,-1,-1,-1,-1,-1
2045,"ordeno","parto","11/25/2014",6,38,4,3,1,1,7,0,-1,-1,-1
2055,"ordeno","prenez","6/11/2017",3,254,1,1,1,-1,-1,-1,-1,-1,-1
2063,"ordeno","inseminacion","6/24/2017",3,66,4,1,1,-1,-1,-1,-1,-1,-1
2092,"ordeno","prenez","8/5/2017",3,312,1,1,3,-1,-1,-1,-1,-1,-1
2104,"ordeno","prenez","12/4/2014",6,185,2,3,2,2,1,2,-1,-1,-1
2107,"ordeno","inseminacion","8/15/2017",3,93,5,3,2,-1,-1,-1,-1,-1,-1
2110,"ordeno","inseminacion","8/16/2017",3,103,4,1,2,-1,-1,-1,-1,-1,-1
2143,"ordeno","prenez","12/11/2014",5,362,4,4,1,5,1,-1,-1,-1,-1
2146,"ordeno","prenez","12/11/2014",5,312,3,5,3,1,3,-1,-1,-1,-1
2156,"ordeno","inseminacion","9/17/2017",3,129,2,1,2,-1,-1,-1,-1,-1,-1
2172,"ordeno","prenez","9/30/2017",3,117,5,2,1,-1,-1,-1,-1,-1,-1
2178,"ordeno","inseminacion","10/9/2017",3,172,4,1,3,-1,-1,-1,-1,-1,-1
2210,"ordeno","prenez","12/23/2014",6,203,2,1,1,1,1,1,-1,-1,-1
2231,"ordeno","prenez","11/6/2017",3,284,1,1,2,-1,-1,-1,-1,-1,-1
2236,"ordeno","para_no_inseminar","11/8/2017",3,264,1,1,0,-1,-1,-1,-1,-1,-1
2248,"ordeno","prenez","11/12/2017",2,401,4,7,-1,-1,-1,-1,-1,-1,-1
2252,"ordeno","prenez","11/17/2017",3,109,3,1,1,-1,-1,-1,-1,-1,-1
2272,"ordeno","prenez","11/27/2017",3,143,1,6,1,-1,-1,-1,-1,-1,-1
2298,"ordeno","inseminacion","1/9/2015",4,338,9,3,8,4,-1,-1,-1,-1,-1
2300,"ordeno","prenez","12/10/2017",3,251,1,1,3,-1,-1,-1,-1,-1,-1
2311,"ordeno","inseminacion","1/11/2015",6,71,1,3,3,4,1,1,-1,-1,-1
2320,"ordeno","prenez","1/13/2015",6,148,1,3,1,2,2,1,-1,-1,-1
2325,"ordeno","prenez","12/30/2017",2,160,7,1,-1,-1,-1,-1,-1,-1,-1
2326,"ordeno","prenez","12/30/2017",3,218,1,1,1,-1,-1,-1,-1,-1,-1
2328,"seca","prenez","1/1/2018",2,274,4,1,-1,-1,-1,-1,-1,-1,-1
2330,"ordeno","prenez","1/7/2018",3,107,3,2,1,-1,-1,-1,-1,-1,-1
2333,"ordeno","celo","1/11/2018",3,67,3,1,0,-1,-1,-1,-1,-1,-1
2335,"ordeno","parto","1/16/2015",6,7,3,1,6,1,3,0,-1,-1,-1
2342,"ordeno","pd-inseminacion","1/18/2018",2,217,8,2,-1,-1,-1,-1,-1,-1,-1
2348,"ordeno","prenez","1/17/2015",5,242,9,3,1,3,5,-1,-1,-1,-1
2352,"ordeno","aborto","1/28/2018",3,262,1,2,1,-1,-1,-1,-1,-1,-1
2353,"ordeno","prenez","1/30/2018",2,400,2,9,-1,-1,-1,-1,-1,-1,-1
2367,"ordeno","prenez","2/17/2018",2,250,10,7,-1,-1,-1,-1,-1,-1,-1
2368,"ordeno","prenez","1/20/2015",5,354,2,1,1,6,6,-1,-1,-1,-1
2370,"ordeno","inseminacion","2/21/2018",3,81,1,2,1,-1,-1,-1,-1,-1,-1
2375,"ordeno","prenez","2/24/2018",3,215,2,1,1,-1,-1,-1,-1,-1,-1
2380,"ordeno","inseminacion","1/21/2015",6,187,1,1,1,4,2,5,-1,-1,-1
2391,"ordeno","prenez","3/15/2018",3,138,2,1,1,-1,-1,-1,-1,-1,-1
2415,"ordeno","prenez","4/15/2018",2,221,11,1,-1,-1,-1,-1,-1,-1,-1
2416,"ordeno","parto","4/15/2018",3,44,1,1,0,-1,-1,-1,-1,-1,-1
2420,"ordeno","prenez","4/23/2018",2,261,9,4,-1,-1,-1,-1,-1,-1,-1
2426,"ordeno","parto","5/13/2018",3,19,2,1,0,-1,-1,-1,-1,-1,-1
2436,"ordeno","prenez","5/15/2018",2,266,7,1,-1,-1,-1,-1,-1,-1,-1
2446,"ordeno","prenez","5/30/2018",2,220,5,2,-1,-1,-1,-1,-1,-1,-1
2448,"ordeno","prenez","2/3/2015",5,454,5,5,1,3,7,-1,-1,-1,-1
2451,"ordeno","prenez","6/7/2018",2,303,2,4,-1,-1,-1,-1,-1,-1,-1
2453,"ordeno","prenez","2/5/2015",6,178,1,1,4,2,3,3,-1,-1,-1
2455,"ordeno","prenez","6/8/2018",2,320,4,6,-1,-1,-1,-1,-1,-1,-1
2459,"ordeno","prenez","2/7/2015",5,315,2,2,8,1,5,-1,-1,-1,-1
2462,"ordeno","prenez","2/8/2015",6,234,1,2,2,1,2,3,-1,-1,-1
2472,"ordeno","prenez","7/6/2018",2,239,5,1,-1,-1,-1,-1,-1,-1,-1
2474,"ordeno","prenez","7/8/2018",2,221,3,1,-1,-1,-1,-1,-1,-1,-1
2491,"ordeno","prenez","7/20/2018",2,148,5,1,-1,-1,-1,-1,-1,-1,-1
2493,"seca","prenez","7/21/2018",2,292,3,2,-1,-1,-1,-1,-1,-1,-1
2499,"ordeno","prenez","7/28/2018",2,226,2,1,-1,-1,-1,-1,-1,-1,-1
2510,"ordeno","prenez","8/5/2018",2,249,3,2,-1,-1,-1,-1,-1,-1,-1
2511,"ordeno","inseminacion","2/18/2015",6,85,2,3,3,1,3,1,-1,-1,-1
2513,"ordeno","prenez","8/8/2018",2,192,2,2,-1,-1,-1,-1,-1,-1,-1
2514,"ordeno","prenez","8/10/2018",2,364,2,6,-1,-1,-1,-1,-1,-1,-1
2516,"ordeno","inseminacion","8/13/2018",2,247,2,4,-1,-1,-1,-1,-1,-1,-1
2520,"ordeno","prenez","8/14/2018",2,231,3,4,-1,-1,-1,-1,-1,-1,-1
2523,"ordeno","prenez","8/15/2018",2,288,1,2,-1,-1,-1,-1,-1,-1,-1
2533,"ordeno","parto","8/18/2018",2,37,6,0,-1,-1,-1,-1,-1,-1,-1
2538,"ordeno","prenez","2/25/2015",5,159,2,1,8,9,1,-1,-1,-1,-1
2541,"ordeno","prenez","8/23/2018",2,293,2,3,-1,-1,-1,-1,-1,-1,-1
2545,"ordeno","prenez","8/27/2018",2,244,4,4,-1,-1,-1,-1,-1,-1,-1
2547,"ordeno","prenez","8/28/2018",2,333,1,5,-1,-1,-1,-1,-1,-1,-1
2550,"ordeno","prenez","8/29/2018",2,313,1,5,-1,-1,-1,-1,-1,-1,-1
2554,"ordeno","parto","3/2/2015",6,32,7,1,2,2,3,0,-1,-1,-1
2560,"ordeno","prenez","3/3/2015",6,229,1,4,1,1,2,1,-1,-1,-1
2568,"ordeno","prenez","3/7/2015",6,120,2,1,2,1,3,1,-1,-1,-1
2570,"ordeno","prenez","9/9/2018",2,184,2,1,-1,-1,-1,-1,-1,-1,-1
2575,"ordeno","prenez","9/12/2018",2,257,1,1,-1,-1,-1,-1,-1,-1,-1
2576,"ordeno","prenez","9/13/2018",2,218,2,1,-1,-1,-1,-1,-1,-1,-1
2584,"ordeno","prenez","9/16/2018",2,115,5,1,-1,-1,-1,-1,-1,-1,-1
2597,"ordeno","prenez","10/4/2018",2,288,2,3,-1,-1,-1,-1,-1,-1,-1
2602,"ordeno","prenez","3/17/2015",6,161,4,1,2,1,1,1,-1,-1,-1
2603,"seca","prenez","10/10/2018",2,263,2,1,-1,-1,-1,-1,-1,-1,-1
2604,"ordeno","pd-inseminacion","3/17/2015",6,143,2,1,3,1,3,1,-1,-1,-1
2605,"ordeno","prenez","3/18/2015",5,309,5,2,2,8,5,-1,-1,-1,-1
2607,"ordeno","inseminacion","10/11/2018",2,298,1,2,-1,-1,-1,-1,-1,-1,-1
2613,"ordeno","prenez","10/27/2018",2,300,1,4,-1,-1,-1,-1,-1,-1,-1
2618,"ordeno","prenez","3/21/2015",6,119,1,2,1,1,5,1,-1,-1,-1
2623,"ordeno","prenez","10/24/2018",2,208,3,1,-1,-1,-1,-1,-1,-1,-1
2626,"ordeno","prenez","10/25/2018",2,283,1,2,-1,-1,-1,-1,-1,-1,-1
2627,"ordeno","parto","10/25/2018",2,75,1,0,-1,-1,-1,-1,-1,-1,-1
2630,"ordeno","aborto","10/26/2018",2,136,2,2,-1,-1,-1,-1,-1,-1,-1
2631,"ordeno","prenez","10/26/2018",2,234,2,1,-1,-1,-1,-1,-1,-1,-1
2634,"ordeno","prenez","10/27/2018",2,197,2,2,-1,-1,-1,-1,-1,-1,-1
2635,"ordeno","prenez","10/30/2018",2,204,1,1,-1,-1,-1,-1,-1,-1,-1
2638,"ordeno","prenez","11/5/2018",2,192,3,1,-1,-1,-1,-1,-1,-1,-1
2640,"ordeno","prenez","11/6/2018",2,232,1,2,-1,-1,-1,-1,-1,-1,-1
2642,"ordeno","prenez","3/26/2015",5,290,2,7,1,4,1,-1,-1,-1,-1
2643,"ordeno","inseminacion","11/7/2018",2,163,1,5,-1,-1,-1,-1,-1,-1,-1
2644,"ordeno","prenez","11/8/2018",2,204,3,3,-1,-1,-1,-1,-1,-1,-1
2647,"ordeno","prenez","11/9/2018",2,224,2,1,-1,-1,-1,-1,-1,-1,-1
2651,"seca","prenez","3/30/2015",5,394,1,1,3,3,2,-1,-1,-1,-1
2652,"ordeno","prenez","11/10/2018",2,186,2,1,-1,-1,-1,-1,-1,-1,-1
2654,"ordeno","prenez","11/12/2018",2,203,1,1,-1,-1,-1,-1,-1,-1,-1
2655,"ordeno","prenez","11/12/2018",2,229,2,2,-1,-1,-1,-1,-1,-1,-1
2656,"ordeno","prenez","11/13/2018",2,156,1,3,-1,-1,-1,-1,-1,-1,-1
2657,"ordeno","prenez","3/31/2015",6,248,1,1,1,1,1,1,-1,-1,-1
2659,"ordeno","para_no_inseminar","11/15/2018",1,498,10,-1,-1,-1,-1,-1,-1,-1,-1
2662,"ordeno","prenez","11/17/2018",2,217,2,1,-1,-1,-1,-1,-1,-1,-1
2663,"ordeno","prenez","11/17/2018",2,191,3,2,-1,-1,-1,-1,-1,-1,-1
2664,"ordeno","prenez","11/17/2018",2,282,1,5,-1,-1,-1,-1,-1,-1,-1
2669,"ordeno","prenez","11/21/2018",2,199,2,1,-1,-1,-1,-1,-1,-1,-1
2673,"ordeno","prenez","4/6/2015",5,244,2,1,1,8,6,-1,-1,-1,-1
2674,"ordeno","parto","11/25/2018",2,28,7,0,-1,-1,-1,-1,-1,-1,-1
2675,"ordeno","prenez","11/26/2018",2,230,1,1,-1,-1,-1,-1,-1,-1,-1
2676,"ordeno","prenez","11/27/2018",2,146,1,1,-1,-1,-1,-1,-1,-1,-1
2678,"ordeno","celo","4/8/2015",6,194,1,1,1,1,4,5,-1,-1,-1
2689,"ordeno","prenez","12/7/2018",2,251,1,1,-1,-1,-1,-1,-1,-1,-1
2690,"ordeno","prenez","12/8/2018",2,135,1,1,-1,-1,-1,-1,-1,-1,-1
2693,"ordeno","prenez","12/14/2018",1,410,5,-1,-1,-1,-1,-1,-1,-1,-1
2694,"ordeno","prenez","12/16/2018",2,251,1,6,-1,-1,-1,-1,-1,-1,-1
2696,"ordeno","parto","12/17/2018",2,12,2,0,-1,-1,-1,-1,-1,-1,-1
2697,"ordeno","prenez","12/20/2018",2,231,1,2,-1,-1,-1,-1,-1,-1,-1
2702,"ordeno","prenez","12/24/2018",2,201,1,2,-1,-1,-1,-1,-1,-1,-1
2705,"ordeno","prenez","12/26/2018",1,370,4,-1,-1,-1,-1,-1,-1,-1,-1
2708,"ordeno","parto","12/27/2018",2,28,2,0,-1,-1,-1,-1,-1,-1,-1
2709,"ordeno","prenez","12/29/2018",2,123,1,1,-1,-1,-1,-1,-1,-1,-1
2713,"ordeno","parto","1/1/2019",2,9,2,0,-1,-1,-1,-1,-1,-1,-1
2715,"ordeno","aborto","4/19/2015",5,322,3,2,4,2,5,-1,-1,-1,-1
2719,"ordeno","prenez","1/13/2019",2,180,1,3,-1,-1,-1,-1,-1,-1,-1
2724,"seca","prenez","4/22/2015",5,289,1,1,2,4,1,-1,-1,-1,-1
2726,"ordeno","prenez","1/18/2019",2,197,1,1,-1,-1,-1,-1,-1,-1,-1
2729,"ordeno","inseminacion","4/24/2015",5,128,8,4,1,4,3,-1,-1,-1,-1
2731,"ordeno","prenez","1/22/2019",2,155,2,3,-1,-1,-1,-1,-1,-1,-1
2733,"ordeno","prenez","1/27/2019",2,187,1,2,-1,-1,-1,-1,-1,-1,-1
2738,"ordeno","prenez","2/6/2019",2,135,2,1,-1,-1,-1,-1,-1,-1,-1
2743,"ordeno","prenez","2/12/2019",2,117,2,1,-1,-1,-1,-1,-1,-1,-1
2746,"ordeno","inseminacion","2/20/2019",2,138,3,2,-1,-1,-1,-1,-1,-1,-1
2750,"ordeno","parto","2/22/2019",2,60,2,0,-1,-1,-1,-1,-1,-1,-1
2753,"seca","prenez","2/26/2019",1,347,2,-1,-1,-1,-1,-1,-1,-1,-1
2760,"ordeno","inseminacion","3/5/2019",1,326,3,-1,-1,-1,-1,-1,-1,-1,-1
2762,"ordeno","inseminacion","3/6/2019",2,126,1,3,-1,-1,-1,-1,-1,-1,-1
2765,"ordeno","prenez","5/4/2015",5,319,1,4,8,3,4,-1,-1,-1,-1
2767,"ordeno","inseminacion","3/12/2019",2,52,1,1,-1,-1,-1,-1,-1,-1,-1
2770,"ordeno","prenez","5/6/2015",5,205,1,8,3,3,1,-1,-1,-1,-1
2777,"ordeno","prenez","5/9/2015",5,341,3,5,1,6,7,-1,-1,-1,-1
2793,"ordeno","parto","5/28/2019",2,1,3,0,-1,-1,-1,-1,-1,-1,-1
2794,"seca","prenez","6/12/2019",1,329,4,-1,-1,-1,-1,-1,-1,-1,-1
2795,"seca","prenez","6/12/2019",1,329,2,-1,-1,-1,-1,-1,-1,-1,-1
2799,"ordeno","parto","6/28/2019",2,13,1,0,-1,-1,-1,-1,-1,-1,-1
2801,"ordeno","prenez","7/1/2019",1,196,2,-1,-1,-1,-1,-1,-1,-1,-1
2805,"ordeno","parto","7/10/2019",2,11,2,0,-1,-1,-1,-1,-1,-1,-1
2808,"ordeno","parto","7/12/2019",2,12,1,0,-1,-1,-1,-1,-1,-1,-1
2809,"ordeno","inseminacion","5/21/2015",5,133,10,5,3,2,4,-1,-1,-1,-1
2811,"ordeno","prenez","7/19/2019",1,287,2,-1,-1,-1,-1,-1,-1,-1,-1
2812,"seca","prenez","7/20/2019",1,296,2,-1,-1,-1,-1,-1,-1,-1,-1
2813,"ordeno","prenez","7/20/2019",1,189,2,-1,-1,-1,-1,-1,-1,-1,-1
2816,"ordeno","parto","7/29/2019",2,1,1,0,-1,-1,-1,-1,-1,-1,-1
2821,"seca","prenez","7/31/2019",1,294,2,-1,-1,-1,-1,-1,-1,-1,-1
2823,"ordeno","prenez","8/3/2019",1,252,4,-1,-1,-1,-1,-1,-1,-1,-1
2824,"ordeno","inseminacion","8/3/2019",2,62,1,1,-1,-1,-1,-1,-1,-1,-1
2829,"ordeno","para_no_inseminar","5/25/2015",4,396,8,3,9,10,-1,-1,-1,-1,-1
2835,"seca","prenez","8/13/2019",1,294,2,-1,-1,-1,-1,-1,-1,-1,-1
2837,"seca","prenez","8/19/2019",1,307,2,-1,-1,-1,-1,-1,-1,-1,-1
2840,"ordeno","prenez","8/24/2019",1,256,2,-1,-1,-1,-1,-1,-1,-1,-1
2850,"ordeno","prenez","8/30/2019",1,316,5,-1,-1,-1,-1,-1,-1,-1,-1
2853,"ordeno","parto","9/3/2019",2,3,1,0,-1,-1,-1,-1,-1,-1,-1
2854,"ordeno","celo","9/4/2019",2,34,1,0,-1,-1,-1,-1,-1,-1,-1
2855,"ordeno","prenez","9/4/2019",1,256,3,-1,-1,-1,-1,-1,-1,-1,-1
2858,"seca","prenez","9/8/2019",1,326,2,-1,-1,-1,-1,-1,-1,-1,-1
2860,"ordeno","prenez","6/1/2015",5,103,5,1,7,1,1,-1,-1,-1,-1
2861,"ordeno","celo","9/14/2019",1,81,0,-1,-1,-1,-1,-1,-1,-1,-1
2863,"ordeno","prenez","9/16/2019",1,298,2,-1,-1,-1,-1,-1,-1,-1,-1
2865,"ordeno","prenez","9/20/2019",1,269,2,-1,-1,-1,-1,-1,-1,-1,-1
2867,"ordeno","prenez","9/21/2019",1,208,1,-1,-1,-1,-1,-1,-1,-1,-1
2869,"ordeno","prenez","9/22/2019",1,145,1,-1,-1,-1,-1,-1,-1,-1,-1
2872,"ordeno","prenez","9/25/2019",1,189,2,-1,-1,-1,-1,-1,-1,-1,-1
2873,"ordeno","prenez","9/26/2019",1,230,2,-1,-1,-1,-1,-1,-1,-1,-1
2874,"ordeno","prenez","9/28/2019",1,182,2,-1,-1,-1,-1,-1,-1,-1,-1
2875,"ordeno","prenez","9/28/2019",1,260,3,-1,-1,-1,-1,-1,-1,-1,-1
2876,"ordeno","prenez","9/29/2019",1,269,1,-1,-1,-1,-1,-1,-1,-1,-1
2877,"seca","prenez","9/29/2019",1,323,3,-1,-1,-1,-1,-1,-1,-1,-1
2881,"ordeno","prenez","9/30/2019",1,327,4,-1,-1,-1,-1,-1,-1,-1,-1
2882,"ordeno","prenez","10/1/2019",1,319,4,-1,-1,-1,-1,-1,-1,-1,-1
2883,"ordeno","prenez","10/2/2019",1,192,1,-1,-1,-1,-1,-1,-1,-1,-1
2887,"ordeno","inseminacion","10/5/2019",1,83,1,-1,-1,-1,-1,-1,-1,-1,-1
2888,"ordeno","prenez","10/6/2019",1,266,1,-1,-1,-1,-1,-1,-1,-1,-1
2892,"ordeno","prenez","10/7/2019",1,268,6,-1,-1,-1,-1,-1,-1,-1,-1
2896,"ordeno","prenez","10/9/2019",1,186,1,-1,-1,-1,-1,-1,-1,-1,-1
2899,"ordeno","prenez","10/14/2019",1,132,2,-1,-1,-1,-1,-1,-1,-1,-1
2900,"ordeno","prenez","10/15/2019",1,162,2,-1,-1,-1,-1,-1,-1,-1,-1
2902,"ordeno","prenez","10/17/2019",1,223,2,-1,-1,-1,-1,-1,-1,-1,-1
2903,"ordeno","prenez","10/21/2019",1,203,1,-1,-1,-1,-1,-1,-1,-1,-1
2907,"ordeno","parto","6/12/2015",6,27,2,1,1,2,5,0,-1,-1,-1
2908,"ordeno","inseminacion","10/23/2019",1,52,1,-1,-1,-1,-1,-1,-1,-1,-1
2913,"ordeno","prenez","10/25/2019",1,217,1,-1,-1,-1,-1,-1,-1,-1,-1
2915,"ordeno","prenez","10/26/2019",1,157,1,-1,-1,-1,-1,-1,-1,-1,-1
2918,"ordeno","inseminacion","10/30/2019",1,87,2,-1,-1,-1,-1,-1,-1,-1,-1
2920,"ordeno","pd-inseminacion","11/1/2019",1,176,3,-1,-1,-1,-1,-1,-1,-1,-1
2921,"ordeno","prenez","11/1/2019",1,248,2,-1,-1,-1,-1,-1,-1,-1,-1
2923,"ordeno","prenez","10/31/2019",1,242,1,-1,-1,-1,-1,-1,-1,-1,-1
2930,"ordeno","prenez","11/1/2019",1,137,2,-1,-1,-1,-1,-1,-1,-1,-1
2931,"ordeno","prenez","11/11/2019",1,126,1,-1,-1,-1,-1,-1,-1,-1,-1
2932,"ordeno","inseminacion","11/15/2019",1,164,4,-1,-1,-1,-1,-1,-1,-1,-1
2944,"ordeno","prenez","6/19/2015",4,261,10,1,4,1,-1,-1,-1,-1,-1
2949,"ordeno","prenez","6/20/2015",5,247,4,6,2,1,1,-1,-1,-1,-1
2963,"ordeno","inseminacion","6/23/2015",5,86,4,9,2,2,2,-1,-1,-1,-1
2966,"ordeno","prenez","6/25/2015",5,267,2,1,5,7,1,-1,-1,-1,-1
2970,"seca","prenez","6/27/2015",4,410,2,6,4,5,-1,-1,-1,-1,-1
2973,"ordeno","inseminacion","6/27/2015",5,189,8,1,2,1,2,-1,-1,-1,-1
2994,"ordeno","prenez","7/3/2015",5,123,3,1,4,1,1,-1,-1,-1,-1
3020,"ordeno","prenez","7/10/2015",5,226,8,1,1,2,2,-1,-1,-1,-1
3032,"ordeno","parto","7/14/2015",5,26,1,4,5,4,0,-1,-1,-1,-1
3037,"ordeno","prenez","7/16/2015",5,217,8,4,3,2,2,-1,-1,-1,-1
3050,"seca","prenez","7/20/2015",4,394,5,1,6,2,-1,-1,-1,-1,-1
3057,"ordeno","prenez","7/22/2015",5,231,7,1,1,1,1,-1,-1,-1,-1
3075,"seca","prenez","7/27/2015",5,290,1,6,5,1,1,-1,-1,-1,-1
3079,"ordeno","inseminacion","7/28/2015",5,91,3,2,7,1,1,-1,-1,-1,-1
