"vaca","estado","estado_ginecol","fecha_de_naci","lact_n","del","inseminacion_lac_1","inseminacion_lac_2","inseminacion_lac_3","inseminacion_lac_4","inseminacion_lac_5","inseminacion_lac_6","inseminacion_lac_7","inseminacion_lac_8","inseminacion_lac_9"
6714,"ordeno","prenez","8/15/2017",3,140,3,3,3,-1,-1,-1,-1,-1,-1
6718,"ordeno","prenez","8/15/2017",3,187,3,1,1,-1,-1,-1,-1,-1,-1
6719,"ordeno","prenez","8/15/2017",2,383,6,7,-1,-1,-1,-1,-1,-1,-1
6722,"ordeno","prenez","8/16/2017",3,300,2,3,3,-1,-1,-1,-1,-1,-1
6723,"ordeno","prenez","8/16/2017",3,127,5,3,1,-1,-1,-1,-1,-1,-1
6729,"ordeno","prenez","8/17/2017",3,244,2,2,4,-1,-1,-1,-1,-1,-1
6732,"ordeno","prenez","1/2/2014",7,276,4,1,1,1,1,1,1,-1,-1
6735,"ordeno","prenez","8/17/2017",3,315,2,1,3,-1,-1,-1,-1,-1,-1
6738,"ordeno","parto","12/18/2014",6,15,2,2,3,2,3,0,-1,-1,-1
6743,"ordeno","prenez","8/18/2017",3,175,4,1,1,-1,-1,-1,-1,-1,-1
6745,"ordeno","prenez","8/19/2017",3,152,3,1,2,-1,-1,-1,-1,-1,-1
6747,"ordeno","inseminacion","8/20/2017",3,157,5,1,5,-1,-1,-1,-1,-1,-1
6748,"ordeno","prenez","8/20/2017",3,166,2,1,1,-1,-1,-1,-1,-1,-1
6751,"ordeno","celo","8/20/2017",3,35,3,3,0,-1,-1,-1,-1,-1,-1
6771,"ordeno","prenez","8/24/2017",3,275,3,1,2,-1,-1,-1,-1,-1,-1
6774,"ordeno","prenez","3/8/2015",5,197,1,3,4,3,2,-1,-1,-1,-1
6785,"ordeno","pd-inseminacion","8/26/2017",3,88,2,5,1,-1,-1,-1,-1,-1,-1
6789,"ordeno","prenez","8/27/2017",3,302,2,2,3,-1,-1,-1,-1,-1,-1
6794,"ordeno","prenez","8/28/2017",3,324,1,2,3,-1,-1,-1,-1,-1,-1
6797,"ordeno","prenez","8/30/2017",2,419,4,7,-1,-1,-1,-1,-1,-1,-1
6798,"ordeno","prenez","8/31/2017",3,244,1,1,1,-1,-1,-1,-1,-1,-1
6802,"ordeno","inseminacion","9/1/2017",3,90,1,9,1,-1,-1,-1,-1,-1,-1
6809,"ordeno","prenez","9/1/2017",3,161,2,3,2,-1,-1,-1,-1,-1,-1
