index,cow,Status,gynecological_status,patio,given_birthdate,lactation,milk_days,number_mastitis_lactation_1,number_mastitis_lactation_2,number_mastitis_lactation_3,number_mastitis_lactation_4,number_mastitis_lactation_5,number_mastitis_lactation_6,number_mastitis_lactation_7,number_mastitis_lactation_8,number_mastitis_lactation_9
1,5,milking,pregnacy,13,9/16/2016,4,265,0,0,0,0,0,0,0,0,0
2,9,milking,heat,24,10/11/2016,4,253,0,0,0,0,0,0,0,0,0
3,16,milking,labor,19,11/15/2016,4,63,0,0,0,0,0,0,0,0,0
4,27,milking,heat,20,12/4/2017,3,48,0,0,0,0,0,0,0,0,0
5,121,milking,pregnacy,15,8/6/2013,7,159,0,0,0,0,1,0,0,0,0
6,160,milking,labor,21,8/19/2013,6,2,0,0,0,0,0,0,0,0,0
7,190,dry,pregnacy,84,8/24/2013,6,524,0,0,1,0,0,0,0,0,0
8,219,milking,labor,18,8/30/2013,7,105,0,0,1,1,2,0,0,0,0
9,222,milking,pregnacy,15,8/31/2013,7,177,0,0,0,2,0,0,0,0,0
10,229,milking,pregnacy,17,9/2/2013,7,145,0,0,0,0,1,1,0,0,0
11,252,milking,labor,21,9/5/2013,6,14,0,0,0,1,1,0,0,0,0
12,254,milking,heat,26,9/5/2013,6,295,0,0,0,0,0,0,0,0,0
13,297,milking,pregnacy,17,9/17/2013,7,128,2,1,0,0,0,0,0,0,0
14,301,milking,pregnacy,13,9/17/2013,7,279,0,0,0,0,0,0,0,0,0
15,437,milking,insemination,19,10/13/2013,6,90,0,0,0,0,0,0,0,0,0
16,465,milking,insemination,20,10/18/2013,7,102,0,0,0,1,0,1,1,0,0
17,508,milking,pregnacy,15,10/23/2013,7,177,0,0,0,0,0,0,0,0,0
18,557,dry,pregnacy,1,11/1/2013,6,462,0,0,0,0,0,0,0,0,0
19,585,milking,heat,25,11/7/2013,6,231,0,1,0,2,1,0,0,0,0
20,619,milking,no_inseminate,26,11/16/2013,6,268,0,0,1,3,1,1,0,0,0
21,623,milking,pregnacy,14,11/17/2013,7,199,0,0,0,0,0,0,0,0,0
22,629,milking,pregnacy,13,11/19/2013,6,479,0,2,0,0,0,2,0,0,0
23,660,milking,labor,21,11/24/2013,7,16,0,0,0,0,0,0,0,0,0
24,700,milking,pregnacy,24,12/5/2013,7,248,0,0,0,0,1,0,0,0,0
25,759,milking,insemination,22,12/18/2013,6,96,0,0,2,1,2,0,0,0,0
26,857,milking,pregnacy,13,1/5/2014,5,495,0,0,0,0,0,0,0,0,0
27,873,milking,insemination,26,1/9/2014,6,268,0,1,0,0,1,0,0,0,0
28,901,milking,pregnacy,23,1/17/2014,7,219,0,0,1,0,0,0,0,0,0
29,975,milking,insemination,23,2/12/2014,6,207,0,0,0,0,2,1,0,0,0
30,991,milking,pregnacy,13,2/17/2014,6,344,0,0,0,0,0,0,0,0,0
31,993,milking,pregnacy,24,2/19/2014,5,239,0,0,2,1,0,0,0,0,0
32,1036,milking,insemination,27,3/14/2014,4,317,0,0,0,1,0,0,0,0,0
33,1122,milking,labor,20,5/10/2014,6,32,6,0,0,0,0,0,0,0,0
34,1151,milking,insemination,17,5/22/2014,6,130,0,0,1,1,2,0,0,0,0
35,1233,milking,labor,21,6/30/2014,6,5,0,0,0,0,1,0,0,0,0
36,1234,milking,insemination,18,11/6/2015,5,171,0,0,0,1,0,0,0,0,0
37,1244,milking,pregnacy,14,7/3/2014,6,189,0,0,0,1,3,0,0,0,0
38,1249,milking,pregnacy,18,11/10/2015,5,127,0,0,0,0,0,0,0,0,0
39,1255,milking,insemination,17,11/13/2015,5,142,0,0,1,1,0,0,0,0,0
40,1262,milking,heat,26,11/15/2015,5,282,0,0,0,0,0,0,0,0,0
41,1307,dry,pregnacy,85,7/15/2014,5,387,0,0,0,0,0,0,0,0,0
42,1354,milking,pregnacy,17,8/3/2014,6,147,0,0,0,3,1,0,0,0,0
43,1362,milking,pregnacy,13,12/20/2015,5,624,0,0,0,0,0,0,0,0,0
44,1422,milking,pregnacy,23,1/14/2016,4,219,0,0,0,0,0,0,0,0,0
45,1437,milking,pregnacy,17,1/19/2016,5,137,0,0,0,1,0,0,0,0,0
46,1441,milking,pregnacy,29,8/20/2014,6,267,0,0,0,1,0,0,0,0,0
47,1455,milking,pregnacy,18,1/25/2016,5,107,0,0,0,0,0,0,0,0,0
48,1456,milking,heat,18,8/23/2014,6,111,0,0,1,0,2,0,0,0,0
49,1474,milking,heat,14,8/27/2014,6,191,0,0,0,0,0,0,0,0,0
50,1484,milking,insemination,19,2/11/2016,4,88,0,0,0,0,0,0,0,0,0
51,1504,milking,insemination,18,2/25/2016,4,122,0,0,0,0,0,0,0,0,0
52,1507,milking,pregnacy,24,2/27/2016,4,261,0,0,0,1,0,0,0,0,0
53,1509,milking,insemination,24,9/2/2014,5,251,0,0,0,1,2,0,0,0,0
54,1527,milking,pregnacy,27,9/6/2014,5,307,0,0,0,0,2,0,0,0,0
55,1531,dry,pregnacy,22,9/7/2014,5,419,0,1,1,0,0,0,0,0,0
56,1537,milking,insemination,19,3/11/2016,4,100,0,0,1,0,0,0,0,0,0
57,1581,milking,insemination,15,5/5/2016,4,163,0,0,0,0,0,0,0,0,0
58,1596,milking,labor,20,9/19/2014,6,38,2,0,0,0,0,0,0,0,0
59,1619,milking,pregnacy,18,6/26/2016,4,127,0,0,0,1,0,0,0,0,0
60,1642,milking,pregnacy,13,9/24/2014,6,279,0,0,0,0,0,0,0,0,0
61,1643,milking,insemination,19,7/27/2016,4,61,0,0,1,0,0,0,0,0,0
62,1648,milking,heat,26,9/25/2014,5,286,1,0,1,1,2,0,0,0,0
63,1667,milking,insemination,18,8/10/2016,4,109,0,0,0,0,0,0,0,0,0
64,1682,milking,pregnacy,17,9/4/2016,4,129,0,0,0,0,0,0,0,0,0
65,1704,dry,pregnacy,84,10/4/2014,5,365,0,0,0,1,1,0,0,0,0
66,1727,milking,insemination,23,10/8/2014,6,211,0,0,1,0,0,0,0,0,0
67,1791,milking,pregnacy,17,10/18/2014,6,132,1,0,0,0,0,0,0,0,0
68,1853,milking,pregnacy,17,10/26/2014,6,139,0,0,0,0,0,0,0,0,0
69,1892,milking,insemination,29,11/4/2014,6,219,1,0,0,0,1,1,0,0,0
70,1915,milking,insemination,19,11/7/2014,6,149,0,0,0,1,1,0,0,0,0
71,1916,milking,pregnacy,14,11/7/2014,5,189,0,0,0,0,0,0,0,0,0
72,1937,milking,insemination,15,11/10/2014,5,172,0,0,0,1,0,0,0,0,0
73,1968,milking,pregnacy,13,11/14/2014,4,297,0,0,1,0,0,0,0,0,0
74,1975,milking,insemination,17,3/13/2017,4,144,0,0,0,0,0,0,0,0,0
75,2015,milking,insemination,19,4/12/2017,4,65,0,2,0,0,0,0,0,0,0
76,2022,milking,insemination,19,4/28/2017,4,101,0,0,0,0,0,0,0,0,0
77,2028,milking,labor,20,5/2/2017,4,29,0,0,0,0,0,0,0,0,0
78,2041,milking,heat,20,5/20/2017,4,50,0,0,0,0,0,0,0,0,0
79,2045,milking,labor,20,11/25/2014,6,33,0,0,0,0,0,0,0,0,0
80,2055,milking,pregnacy,13,6/11/2017,3,249,1,1,1,0,0,0,0,0,0
81,2063,milking,insemination,19,6/24/2017,3,61,0,0,0,0,0,0,0,0,0
82,2092,milking,pregnacy,13,8/5/2017,3,307,0,0,0,0,0,0,0,0,0
83,2104,milking,pregnacy,15,12/4/2014,6,180,0,2,2,1,1,0,0,0,0
84,2107,milking,insemination,19,8/15/2017,3,88,0,0,0,0,0,0,0,0,0
85,2110,milking,insemination,19,8/16/2017,3,98,0,3,0,0,0,0,0,0,0
86,2143,milking,pregnacy,13,12/11/2014,5,357,0,3,3,0,4,0,0,0,0
87,2146,milking,pregnacy,3,12/11/2014,5,307,0,0,0,1,9,0,0,0,0
88,2156,milking,insemination,3,9/17/2017,3,124,0,2,1,0,0,0,0,0,0
89,2172,milking,pregnacy,18,9/30/2017,3,112,0,0,0,0,0,0,0,0,0
90,2178,milking,insemination,15,10/9/2017,3,167,0,0,0,0,0,0,0,0,0
91,2210,milking,pregnacy,14,12/23/2014,6,198,0,0,0,1,0,0,0,0,0
92,2231,milking,pregnacy,13,11/6/2017,3,279,0,0,0,0,0,0,0,0,0
93,2236,milking,no_inseminate,24,11/8/2017,3,259,1,0,0,0,0,0,0,0,0
94,2248,milking,pregnacy,29,11/12/2017,2,396,0,0,0,0,0,0,0,0,0
95,2252,milking,pregnacy,19,11/17/2017,3,104,0,0,0,0,0,0,0,0,0
96,2272,milking,pregnacy,17,11/27/2017,3,138,0,0,0,0,0,0,0,0,0
97,2298,milking,insemination,28,1/9/2015,4,333,1,0,0,0,0,0,0,0,0
98,2300,milking,pregnacy,28,12/10/2017,3,246,0,0,0,0,0,0,0,0,0
99,2311,milking,insemination,19,1/11/2015,6,66,0,1,1,1,0,1,0,0,0
100,2320,milking,pregnacy,17,1/13/2015,6,143,1,0,0,0,0,1,0,0,0
101,2325,milking,pregnacy,15,12/30/2017,2,155,0,0,0,0,0,0,0,0,0
102,2326,milking,pregnacy,23,12/30/2017,3,213,0,0,0,0,0,0,0,0,0
103,2328,dry,pregnacy,84,1/1/2018,2,274,0,0,0,0,0,0,0,0,0
104,2330,milking,pregnacy,19,1/7/2018,3,102,0,1,0,0,0,0,0,0,0
105,2333,milking,heat,19,1/11/2018,3,62,0,0,0,0,0,0,0,0,0
106,2335,milking,labor,21,1/16/2015,6,2,0,1,0,0,0,0,0,0,0
107,2342,milking,insemination,23,1/18/2018,2,212,0,0,0,0,0,0,0,0,0
108,2348,milking,pregnacy,24,1/17/2015,5,237,0,2,0,0,0,0,0,0,0
109,2352,milking,pregnacy,13,1/28/2018,3,257,0,0,0,0,0,0,0,0,0
110,2353,milking,pregnacy,28,1/30/2018,2,395,0,0,0,0,0,0,0,0,0
111,2367,milking,pregnacy,24,2/17/2018,2,245,1,0,0,0,0,0,0,0,0
112,2368,milking,pregnacy,27,1/20/2015,5,349,0,0,0,0,2,0,0,0,0
113,2370,milking,heat,19,2/21/2018,3,76,1,0,0,0,0,0,0,0,0
114,2375,milking,pregnacy,29,2/24/2018,3,210,1,0,0,0,0,0,0,0,0
115,2380,milking,insemination,15,1/21/2015,6,182,0,0,0,0,0,0,0,0,0
116,2391,milking,pregnacy,17,3/15/2018,3,133,1,0,0,0,0,0,0,0,0
117,2398,milking,no_inseminate,29,3/21/2018,2,378,0,0,0,0,0,0,0,0,0
118,2415,milking,pregnacy,23,4/15/2018,2,216,0,0,0,0,0,0,0,0,0
119,2416,milking,labor,20,4/15/2018,3,39,0,0,0,0,0,0,0,0,0
120,2420,milking,pregnacy,24,4/23/2018,2,256,0,0,0,0,0,0,0,0,0
121,2426,milking,labor,21,5/13/2018,3,14,0,0,0,0,0,0,0,0,0
122,2436,milking,pregnacy,13,5/15/2018,2,261,1,0,0,0,0,0,0,0,0
123,2446,milking,pregnacy,23,5/30/2018,2,215,0,0,0,0,0,0,0,0,0
124,2448,milking,pregnacy,13,2/3/2015,5,449,0,0,0,1,0,0,0,0,0
125,2451,milking,pregnacy,26,6/7/2018,2,298,0,0,0,0,0,0,0,0,0
126,2453,milking,pregnacy,22,2/5/2015,6,173,0,0,0,1,0,0,0,0,0
127,2455,milking,pregnacy,27,6/8/2018,2,315,0,0,0,0,0,0,0,0,0
128,2459,milking,pregnacy,28,2/7/2015,5,310,0,0,2,0,1,0,0,0,0
129,2462,milking,pregnacy,25,2/8/2015,6,229,0,0,0,0,0,0,0,0,0
130,2472,milking,pregnacy,13,7/6/2018,2,234,0,0,0,0,0,0,0,0,0
131,2474,milking,pregnacy,23,7/8/2018,2,216,0,0,0,0,0,0,0,0,0
132,2491,milking,pregnacy,17,7/20/2018,2,143,0,0,0,0,0,0,0,0,0
133,2493,dry,pregnacy,86,7/21/2018,2,292,0,0,0,0,0,0,0,0,0
134,2499,milking,pregnacy,29,7/28/2018,2,221,0,0,0,0,0,0,0,0,0
135,2510,milking,pregnacy,24,8/5/2018,2,244,0,0,0,0,0,0,0,0,0
136,2511,milking,insemination,19,2/18/2015,6,80,0,0,0,1,0,0,0,0,0
137,2513,milking,pregnacy,28,8/8/2018,2,187,0,0,0,0,0,0,0,0,0
138,2514,milking,pregnacy,13,8/10/2018,2,359,0,0,0,0,0,0,0,0,0
139,2516,milking,abortion,24,8/13/2018,2,242,1,0,0,0,0,0,0,0,0
140,2520,milking,pregnacy,25,8/14/2018,2,226,0,1,0,0,0,0,0,0,0
141,2523,milking,pregnacy,26,8/15/2018,2,283,0,0,0,0,0,0,0,0,0
142,2533,milking,labor,20,8/18/2018,2,32,0,0,0,0,0,0,0,0,0
143,2538,milking,pregnacy,17,2/25/2015,5,154,0,0,0,0,0,0,0,0,0
144,2541,milking,pregnacy,26,8/23/2018,2,288,0,1,0,0,0,0,0,0,0
145,2545,milking,pregnacy,28,8/27/2018,2,239,0,0,0,0,0,0,0,0,0
146,2547,milking,pregnacy,13,8/28/2018,2,328,0,0,0,0,0,0,0,0,0
147,2550,milking,pregnacy,27,8/29/2018,2,308,1,1,0,0,0,0,0,0,0
148,2554,milking,labor,20,3/2/2015,6,27,0,1,1,0,0,0,0,0,0
149,2560,milking,pregnacy,25,3/3/2015,6,224,0,0,2,0,0,2,0,0,0
150,2568,milking,pregnacy,18,3/7/2015,6,115,0,0,0,0,0,0,0,0,0
151,2570,milking,pregnacy,15,9/9/2018,2,179,0,0,0,0,0,0,0,0,0
152,2575,milking,pregnacy,13,9/12/2018,2,252,1,0,0,0,0,0,0,0,0
153,2576,milking,pregnacy,23,9/13/2018,2,213,0,0,0,0,0,0,0,0,0
154,2584,milking,insemination,18,9/16/2018,2,110,0,0,0,0,0,0,0,0,0
155,2597,milking,pregnacy,26,10/4/2018,2,283,0,0,0,0,0,0,0,0,0
156,2602,milking,pregnacy,15,3/17/2015,6,156,0,2,1,3,0,0,0,0,0
157,2603,dry,pregnacy,85,10/10/2018,2,263,0,1,0,0,0,0,0,0,0
158,2604,milking,insemination,22,3/17/2015,6,138,0,0,0,0,0,0,0,0,0
159,2605,milking,pregnacy,29,3/18/2015,5,304,0,0,0,1,1,0,0,0,0
160,2607,milking,insemination,26,10/11/2018,2,293,0,0,0,0,0,0,0,0,0
161,2613,milking,pregnacy,26,10/27/2018,2,295,1,0,0,0,0,0,0,0,0
162,2618,milking,insemination,18,3/21/2015,6,114,0,0,0,1,0,0,0,0,0
163,2623,milking,pregnacy,14,10/24/2018,2,203,0,0,0,0,0,0,0,0,0
164,2626,milking,pregnacy,13,10/25/2018,2,278,0,1,0,0,0,0,0,0,0
165,2627,milking,labor,19,10/25/2018,2,70,0,0,0,0,0,0,0,0,0
166,2630,milking,abortion,17,10/26/2018,2,131,0,0,0,0,0,0,0,0,0
167,2631,milking,pregnacy,25,10/26/2018,2,229,0,0,0,0,0,0,0,0,0
168,2634,milking,pregnacy,14,10/27/2018,2,192,0,0,0,0,0,0,0,0,0
169,2635,milking,pregnacy,14,10/30/2018,2,199,0,0,0,0,0,0,0,0,0
170,2638,milking,pregnacy,14,11/5/2018,2,187,0,1,0,0,0,0,0,0,0
171,2640,milking,pregnacy,25,11/6/2018,2,227,1,0,0,0,0,0,0,0,0
172,2642,milking,pregnacy,13,3/26/2015,5,285,0,1,1,2,0,0,0,0,0
173,2643,milking,insemination,28,11/7/2018,2,158,0,0,0,0,0,0,0,0,0
174,2644,milking,pregnacy,14,11/8/2018,2,199,0,1,0,0,0,0,0,0,0
175,2647,milking,pregnacy,23,11/9/2018,2,219,0,0,0,0,0,0,0,0,0
176,2651,dry,pregnacy,85,3/30/2015,5,394,0,0,0,1,2,0,0,0,0
177,2652,milking,pregnacy,15,11/10/2018,2,181,0,0,0,0,0,0,0,0,0
178,2654,milking,pregnacy,14,11/12/2018,2,198,1,0,0,0,0,0,0,0,0
179,2655,milking,pregnacy,29,11/12/2018,2,224,0,0,0,0,0,0,0,0,0
180,2656,milking,pregnacy,17,11/13/2018,2,151,0,0,0,0,0,0,0,0,0
181,2657,milking,pregnacy,13,3/31/2015,6,243,0,0,0,0,0,0,0,0,0
182,2659,milking,no_inseminate,30,11/15/2018,1,493,0,0,0,0,0,0,0,0,0
183,2662,milking,pregnacy,23,11/17/2018,2,212,0,0,0,0,0,0,0,0,0
184,2663,milking,pregnacy,14,11/17/2018,2,186,0,0,0,0,0,0,0,0,0
185,2664,milking,pregnacy,26,11/17/2018,2,277,0,0,0,0,0,0,0,0,0
186,2669,milking,pregnacy,14,11/21/2018,2,194,0,1,0,0,0,0,0,0,0
187,2673,milking,pregnacy,24,4/6/2015,5,239,0,0,0,2,0,0,0,0,0
188,2674,milking,labor,20,11/25/2018,2,23,1,0,0,0,0,0,0,0,0
189,2675,milking,pregnacy,13,11/26/2018,2,225,0,0,0,0,0,0,0,0,0
190,2676,milking,pregnacy,17,11/27/2018,2,141,0,0,0,0,0,0,0,0,0
191,2678,milking,heat,14,4/8/2015,6,189,0,0,0,1,0,1,0,0,0
192,2689,milking,pregnacy,13,12/7/2018,2,246,0,0,0,0,0,0,0,0,0
193,2690,milking,pregnacy,17,12/8/2018,2,130,0,0,0,0,0,0,0,0,0
194,2693,milking,pregnacy,30,12/14/2018,1,405,0,0,0,0,0,0,0,0,0
195,2694,milking,pregnacy,24,12/16/2018,2,246,0,0,0,0,0,0,0,0,0
196,2696,milking,labor,21,12/17/2018,2,7,1,0,0,0,0,0,0,0,0
197,2697,milking,pregnacy,28,12/20/2018,2,226,0,2,0,0,0,0,0,0,0
198,2702,milking,pregnacy,14,12/24/2018,2,196,0,0,0,0,0,0,0,0,0
199,2705,milking,pregnacy,30,12/26/2018,1,365,0,0,0,0,0,0,0,0,0
200,2708,milking,labor,20,12/27/2018,2,23,0,0,0,0,0,0,0,0,0
201,2709,milking,pregnacy,18,12/29/2018,2,118,0,0,0,0,0,0,0,0,0
202,2713,milking,labor,3,1/1/2019,2,4,0,1,0,0,0,0,0,0,0
203,2715,milking,abortion,29,4/19/2015,5,317,0,0,0,1,1,0,0,0,0
204,2719,milking,pregnacy,15,1/13/2019,2,175,0,0,0,0,0,0,0,0,0
205,2724,dry,pregnacy,85,4/22/2015,5,289,1,0,0,4,2,0,0,0,0
206,2726,milking,pregnacy,14,1/18/2019,2,192,0,0,0,0,0,0,0,0,0
207,2729,milking,insemination,18,4/24/2015,5,123,0,1,0,0,0,0,0,0,0
208,2731,milking,pregnacy,17,1/22/2019,2,150,0,0,0,0,0,0,0,0,0
209,2733,milking,pregnacy,15,1/27/2019,2,182,0,0,0,0,0,0,0,0,0
210,2738,milking,pregnacy,17,2/6/2019,2,130,0,0,0,0,0,0,0,0,0
211,2743,milking,insemination,18,2/12/2019,2,112,0,0,0,0,0,0,0,0,0
212,2746,milking,insemination,17,2/20/2019,2,133,0,0,0,0,0,0,0,0,0
213,2750,milking,labor,20,2/22/2019,2,55,0,0,0,0,0,0,0,0,0
214,2753,dry,pregnacy,84,2/26/2019,1,347,2,0,0,0,0,0,0,0,0
215,2760,milking,insemination,12,3/5/2019,1,321,0,0,0,0,0,0,0,0,0
216,2762,milking,insemination,18,3/6/2019,2,121,0,0,0,0,0,0,0,0,0
217,2765,milking,pregnacy,13,5/4/2015,5,314,0,0,0,0,0,0,0,0,0
218,2767,milking,heat,20,3/12/2019,2,47,0,0,0,0,0,0,0,0,0
219,2770,milking,pregnacy,14,5/6/2015,5,200,0,1,2,0,1,0,0,0,0
220,2777,milking,pregnacy,29,5/9/2015,5,336,0,0,0,0,0,0,0,0,0
221,2793,dry,pregnacy,1,5/28/2019,1,320,0,0,0,0,0,0,0,0,0
222,2794,dry,pregnacy,84,6/12/2019,1,329,0,0,0,0,0,0,0,0,0
223,2795,dry,pregnacy,86,6/12/2019,1,329,1,0,0,0,0,0,0,0,0
224,2799,milking,labor,21,6/28/2019,2,8,0,0,0,0,0,0,0,0,0
225,2801,milking,pregnacy,11,7/1/2019,1,191,0,0,0,0,0,0,0,0,0
226,2805,milking,labor,21,7/10/2019,2,6,0,0,0,0,0,0,0,0,0
227,2808,milking,labor,21,7/12/2019,2,7,0,0,0,0,0,0,0,0,0
228,2809,milking,insemination,20,5/21/2015,5,128,0,0,0,0,1,0,0,0,0
229,2811,milking,pregnacy,16,7/19/2019,1,282,0,0,0,0,0,0,0,0,0
230,2812,dry,pregnacy,85,7/20/2019,1,296,0,0,0,0,0,0,0,0,0
231,2813,milking,pregnacy,11,7/20/2019,1,184,0,0,0,0,0,0,0,0,0
232,2816,dry,pregnacy,1,7/29/2019,1,273,0,0,0,0,0,0,0,0,0
233,2821,dry,pregnacy,1,7/31/2019,1,294,0,0,0,0,0,0,0,0,0
234,2823,milking,pregnacy,12,8/3/2019,1,247,0,0,0,0,0,0,0,0,0
235,2824,milking,heat,20,8/3/2019,2,57,0,0,0,0,0,0,0,0,0
236,2829,milking,no_inseminate,28,5/25/2015,4,391,0,0,0,1,0,0,0,0,0
237,2835,dry,pregnacy,1,8/13/2019,1,294,0,0,0,0,0,0,0,0,0
238,2837,dry,pregnacy,85,8/19/2019,1,307,0,0,0,0,0,0,0,0,0
239,2840,milking,pregnacy,16,8/24/2019,1,251,0,0,0,0,0,0,0,0,0
240,2850,milking,pregnacy,16,8/30/2019,1,311,1,0,0,0,0,0,0,0,0
241,2853,dry,pregnacy,1,9/3/2019,1,272,0,0,0,0,0,0,0,0,0
242,2854,milking,heat,20,9/4/2019,2,29,0,0,0,0,0,0,0,0,0
243,2855,milking,pregnacy,12,9/4/2019,1,251,1,0,0,0,0,0,0,0,0
244,2858,dry,pregnacy,85,9/8/2019,1,326,1,0,0,0,0,0,0,0,0
245,2860,milking,pregnacy,19,6/1/2015,5,98,0,0,0,0,0,0,0,0,0
246,2861,milking,heat,7,9/14/2019,1,76,0,0,0,0,0,0,0,0,0
247,2863,milking,pregnacy,16,9/16/2019,1,293,0,0,0,0,0,0,0,0,0
248,2865,milking,pregnacy,16,9/20/2019,1,264,0,0,0,0,0,0,0,0,0
249,2867,milking,pregnacy,11,9/21/2019,1,203,0,0,0,0,0,0,0,0,0
250,2869,milking,pregnacy,10,9/22/2019,1,140,0,0,0,0,0,0,0,0,0
251,2872,milking,pregnacy,11,9/25/2019,1,184,0,0,0,0,0,0,0,0,0
252,2873,milking,pregnacy,12,9/26/2019,1,225,0,0,0,0,0,0,0,0,0
253,2874,milking,pregnacy,11,9/28/2019,1,177,0,0,0,0,0,0,0,0,0
254,2875,milking,pregnacy,12,9/28/2019,1,255,0,0,0,0,0,0,0,0,0
255,2876,milking,pregnacy,16,9/29/2019,1,264,0,0,0,0,0,0,0,0,0
256,2877,dry,pregnacy,84,9/29/2019,1,323,0,0,0,0,0,0,0,0,0
257,2881,milking,pregnacy,16,9/30/2019,1,322,0,0,0,0,0,0,0,0,0
258,2882,milking,pregnacy,12,10/1/2019,1,314,0,0,0,0,0,0,0,0,0
259,2883,milking,pregnacy,11,10/2/2019,1,187,0,0,0,0,0,0,0,0,0
260,2887,milking,insemination,7,10/5/2019,1,78,0,0,0,0,0,0,0,0,0
261,2888,milking,pregnacy,16,10/6/2019,1,261,0,0,0,0,0,0,0,0,0
262,2892,milking,pregnacy,12,10/7/2019,1,263,1,0,0,0,0,0,0,0,0
263,2896,milking,pregnacy,11,10/9/2019,1,181,0,0,0,0,0,0,0,0,0
264,2899,milking,pregnacy,10,10/14/2019,1,127,0,0,0,0,0,0,0,0,0
265,2900,milking,pregnacy,10,10/15/2019,1,157,0,0,0,0,0,0,0,0,0
266,2902,milking,pregnacy,11,10/17/2019,1,218,0,0,0,0,0,0,0,0,0
267,2903,milking,pregnacy,11,10/21/2019,1,198,0,0,0,0,0,0,0,0,0
268,2907,milking,labor,20,6/12/2015,6,22,0,0,0,0,1,0,0,0,0
269,2908,milking,insemination,5,10/23/2019,1,47,0,0,0,0,0,0,0,0,0
270,2913,milking,pregnacy,11,10/25/2019,1,212,0,0,0,0,0,0,0,0,0
271,2915,milking,pregnacy,10,10/26/2019,1,152,0,0,0,0,0,0,0,0,0
272,2918,milking,insemination,7,10/30/2019,1,82,0,0,0,0,0,0,0,0,0
273,2920,milking,insemination,11,11/1/2019,1,171,0,0,0,0,0,0,0,0,0
274,2921,milking,pregnacy,12,11/1/2019,1,243,0,0,0,0,0,0,0,0,0
275,2923,milking,pregnacy,16,10/31/2019,1,237,0,0,0,0,0,0,0,0,0
276,2930,milking,pregnacy,10,11/1/2019,1,132,0,0,0,0,0,0,0,0,0
277,2931,milking,pregnacy,9,11/11/2019,1,121,0,0,0,0,0,0,0,0,0
278,2932,milking,insemination,10,11/15/2019,1,159,0,0,0,0,0,0,0,0,0
279,2944,milking,pregnacy,3,6/19/2015,4,256,0,0,0,0,0,0,0,0,0
280,2949,milking,pregnacy,13,6/20/2015,5,242,0,0,0,0,0,0,0,0,0
281,2963,milking,insemination,20,6/23/2015,5,81,0,1,3,2,3,0,0,0,0
282,2966,milking,pregnacy,13,6/25/2015,5,262,1,0,0,2,2,0,0,0,0
283,2970,dry,pregnacy,85,6/27/2015,4,410,0,0,0,2,0,0,0,0,0
284,2973,milking,insemination,15,6/27/2015,5,184,0,0,0,1,0,0,0,0,0
285,2994,milking,insemination,18,7/3/2015,5,118,1,2,0,1,0,0,0,0,0
286,3020,milking,pregnacy,25,7/10/2015,5,221,0,0,0,0,0,0,0,0,0
287,3032,milking,labor,20,7/14/2015,5,21,0,0,1,1,0,0,0,0,0
288,3037,milking,pregnacy,23,7/16/2015,5,212,0,0,0,0,0,0,0,0,0
289,3050,dry,pregnacy,84,7/20/2015,4,394,0,0,0,0,0,0,0,0,0
290,3057,milking,pregnacy,29,7/22/2015,5,226,0,2,0,1,0,0,0,0,0
291,3075,dry,pregnacy,84,7/27/2015,5,290,0,0,0,0,0,0,0,0,0
292,3079,milking,insemination,19,7/28/2015,5,86,0,0,0,0,0,0,0,0,0
293,3081,dry,pregnacy,85,7/29/2015,5,281,0,0,0,0,0,0,0,0,0
294,3093,milking,pregnacy,19,8/1/2015,5,100,2,0,0,0,0,0,0,0,0
295,3097,milking,pregnacy,25,8/1/2015,4,232,1,0,3,0,0,0,0,0,0
296,3104,milking,insemination,23,8/3/2015,4,209,1,1,0,0,0,0,0,0,0
297,3105,milking,pregnacy,13,8/3/2015,4,474,0,0,0,0,0,0,0,0,0
298,3116,milking,insemination,19,8/6/2015,5,72,0,0,0,1,0,0,0,0,0
299,3135,milking,pregnacy,27,8/12/2015,4,308,0,0,3,2,0,0,0,0,0
300,3203,milking,pregnacy,14,8/28/2015,4,190,0,0,0,0,0,0,0,0,0
301,3210,dry,pregnacy,84,8/29/2015,4,336,1,0,0,0,0,0,0,0,0
302,3216,milking,abortion,23,8/30/2015,5,214,0,0,5,6,4,0,0,0,0
303,3282,milking,pregnacy,14,9/11/2015,5,201,0,1,0,1,0,0,0,0,0
304,3294,milking,labor,3,9/13/2015,5,38,0,0,0,2,1,0,0,0,0
305,3298,milking,insemination,18,9/14/2015,5,120,0,0,1,1,0,0,0,0,0
306,3312,milking,pregnacy,27,9/16/2015,4,303,2,2,2,4,0,0,0,0,0
307,3336,milking,pregnacy,17,9/18/2015,4,153,0,0,0,0,0,0,0,0,0
308,3346,milking,insemination,14,9/19/2015,5,189,1,0,0,1,1,0,0,0,0
309,3349,milking,pregnacy,14,9/20/2015,5,196,0,0,0,0,0,0,0,0,0
310,3378,milking,insemination,23,9/24/2015,4,218,0,0,0,0,0,0,0,0,0
311,3402,milking,pregnacy,24,9/26/2015,5,249,0,0,0,0,0,0,0,0,0
312,3409,milking,insemination,14,9/27/2015,5,202,0,0,1,0,0,0,0,0,0
313,3419,milking,pregnacy,26,9/28/2015,4,291,0,0,0,0,0,0,0,0,0
314,3436,milking,pregnacy,18,10/1/2015,5,121,0,0,1,1,0,0,0,0,0
