Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Number_of_Abortions,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production,Daily_Production_bool,given_birthdate_days,Gynecological_Status_Abortion,Gynecological_Status_Heat,Gynecological_Status_Insemination,Gynecological_Status_Labor,Gynecological_Status_No_Inseminate,Gynecological_Status_Pregnacy,Inseminator_Name_CARLOS-JAIME,Inseminator_Name_CARLOS-JEHU,Inseminator_Name_CARLOS-LUIS,Inseminator_Name_CARLOS-MANUEL,Inseminator_Name_CARLOS-MAURICIO,Inseminator_Name_CARLOS-URIEL,Inseminator_Name_DAVID-ADAN,Inseminator_Name_DAVID-JEHU,Inseminator_Name_DAVID-MANUEL,Inseminator_Name_DAVID-URIEL,Inseminator_Name_ELIVER-JEHU,Inseminator_Name_JORGE-JEHU,Inseminator_Name_JOSE JUAN-GERARDO,Inseminator_Name_JUAN DELGADO-JAIME,Inseminator_Name_JUAN DELGADO-JEHU,Inseminator_Name_JUAN DELGADO-MANUEL,Inseminator_Name_JUAN DELGADO-URIEL,Inseminator_Name_JUAN-BRUNO,Inseminator_Name_JUAN-MAURICIO,Inseminator_Name_MANUEL-MOISES,Inseminator_Name_MAURICIO-JAIME,Inseminator_Name_MAURICIO-JEHU,Inseminator_Name_MIGUEL-JAIME,Inseminator_Name_MIGUEL-MAURICIO,Inseminator_Name_MIGUEL-MOISES,Inseminator_Name_MIGUEL-URIEL,Inseminator_Name_MVZ ROGELIO-JAIME,Inseminator_Name_MVZ ROGELIO-JEHU,Inseminator_Name_MVZ ROGELIO-PABLO,Inseminator_Name_MVZ ROGELIO-URIEL,Inseminator_Name_N/A,Inseminator_Name_ROBERTO-ADAN,Inseminator_Name_ROBERTO-DAVID,Inseminator_Name_ROBERTO-MANUEL,Inseminator_Name_ROBERTO-MAURICIO,Inseminator_Name_ROBERTO-URIEL,Inseminator_Name_ROGELIO-MAURICIO,Inseminator_Name_URIEL-JEHU,bulls_name_1HO15524,bulls_name_29HO19282,bulls_name_29HO19624,bulls_name_29HO19691,bulls_name_501HO15427,bulls_name_AUZZI,bulls_name_BACKROAD,bulls_name_BACKROAD SEX.,bulls_name_BART,bulls_name_CHANDLER,bulls_name_CURFEW,bulls_name_CURFEW SEX.,bulls_name_DECLARATION,bulls_name_EXPO,bulls_name_EXPRESSO,bulls_name_FALCO,bulls_name_FASTDRAW,bulls_name_HEINSOHN,bulls_name_INFOCUS GOLD,bulls_name_KELLER,bulls_name_KEYNOTE,bulls_name_MARADONA,bulls_name_MAVERICK,bulls_name_MUSTSEE,bulls_name_N/A,bulls_name_OGDEN,bulls_name_OLAF,bulls_name_POPSTAR,bulls_name_POWE,bulls_name_RAYSHEN,bulls_name_RHETORIC,bulls_name_SCORPIO,bulls_name_SCRAPPLE,bulls_name_SILVER INFOCUS,bulls_name_TORETTO,bulls_name_TORRO,bulls_name_UNCHARTED,bulls_name_VIEWPOINT,bulls_name_WALLEN,bulls_name_WILD THING
47.5,47.7,0,7,85,13,2,13,0,0,0.0,8402,3504,1.0,85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,51.5,1,5,194,64,3,64,64,0,59.7,25912,9297,1.0,194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.2,32.4,9,7,236,130,2,130,130,0,40.4,9632,8199,1.0,236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.4,60.2,5,6,47,4,0,0,0,0,0.0,19701,2169,1.0,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.5,53.4,0,7,59,0,0,0,0,0,0.0,13381,1891,1.0,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.7,46.1,1,7,134,66,1,66,66,0,0.0,10510,5919,1.0,134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,6,462,216,5,216,216,0,51.4,11996,13339,0.0,462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37.4,33.3,12,6,188,5,5,5,0,0,41.6,14194,6833,1.0,188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.8,30.4,-2,6,225,123,1,123,0,0,43.5,9625,8002,1.0,225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37.8,40.4,-6,7,156,97,1,97,97,0,46.7,9900,5836,1.0,156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
