,id,lactation_1,lactation_2,lactation_3,total_production_1,total_production_2,total_production_3,milk_days_1,milk_days_2,milk_days_3,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,abortos_Lac_1,abortos_lac_2,abortos_lac_3,production_ok
69,1916,1,1,1,18130,13591,13177,619,317,361,0,0,0,8,1,5,1,0,0,1
70,1937,1,1,1,11214,15355,15201,322,449,370,0,0,0,3,5,3,0,1,0,1
71,1968,1,1,1,16075,16945,18838,534,490,588,0,0,1,9,6,7,1,0,0,1
72,1975,1,1,1,1584,8787,5616,284,283,271,0,0,0,0,1,1,0,0,0,0
73,2015,1,1,1,1661,9661,9081,269,352,284,0,2,0,0,4,1,0,0,0,0
74,2022,1,1,1,1312,9529,8644,274,290,290,0,0,0,0,2,2,0,0,0,0
75,2028,1,1,1,2833,10093,11391,255,270,343,0,0,0,0,1,4,0,0,0,1
76,2041,1,1,1,3165,8110,9038,264,295,271,0,0,0,0,1,1,0,0,0,0
77,2045,1,1,1,10097,12204,11127,340,357,273,0,0,0,4,3,1,0,0,0,1
78,2055,1,1,1,6907,6113,5714,280,281,247,1,1,1,1,1,1,0,0,0,0
79,2063,1,1,1,12435,10929,2256,477,316,59,0,0,0,4,1,1,1,0,0,0
80,2092,1,1,1,6629,9329,11362,304,288,305,0,0,0,1,1,3,0,0,0,1
81,2104,1,1,1,9699,12213,12357,288,321,299,0,2,2,2,3,2,0,0,0,1
82,2107,1,1,1,10669,13550,2582,467,344,86,0,0,0,5,3,2,1,0,0,0
83,2110,1,1,1,12458,8719,4224,486,319,96,0,3,0,4,1,2,1,0,0,0
84,2143,1,1,1,13165,15217,11548,400,395,275,0,3,3,4,4,1,0,0,0,1
85,2146,1,1,1,12322,17581,16950,376,486,421,0,0,0,3,5,3,0,1,1,1
86,2156,1,1,1,11008,9632,5012,477,287,122,0,2,1,2,1,2,1,0,0,0
87,2172,1,1,1,8628,10377,19,443,332,110,0,0,0,5,2,1,0,1,0,0
88,2178,1,1,1,9424,9852,6694,437,283,165,0,0,0,4,1,3,0,0,1,0
89,2210,1,1,1,8794,9549,10073,304,291,315,0,0,0,2,1,1,0,0,0,1
90,2231,1,1,1,6889,8999,9266,270,287,277,0,0,0,1,1,2,0,0,0,0
91,2236,1,1,1,6983,8445,8456,282,286,257,1,0,0,1,1,0,0,0,0,0
92,2248,1,1,0,13792,12005,0,510,394,0,0,0,-1,4,7,-1,1,1,-1,0
93,2252,1,1,1,14971,11819,5441,448,283,102,0,0,0,3,1,1,1,0,0,0
94,2272,1,1,1,6844,10851,6055,283,413,136,0,0,0,1,6,1,0,0,0,0
95,2298,1,1,1,14616,13512,13663,532,326,480,1,0,0,9,3,8,2,0,0,1
96,2300,1,1,1,7895,8659,8250,283,281,244,0,0,0,1,1,3,0,0,0,0
97,2311,1,1,1,7749,13587,12437,267,376,383,0,1,1,1,3,3,0,0,0,1
98,2320,1,1,1,7222,11365,10391,267,468,277,1,0,0,1,3,1,0,1,0,1
99,2325,1,1,0,20633,7745,0,699,153,0,0,0,-1,7,1,-1,2,0,-1,0
100,2326,1,1,1,7273,8107,7262,294,280,211,0,0,0,1,1,1,0,0,0,0
101,2328,1,1,0,11603,9649,0,452,273,0,0,0,-1,4,1,-1,1,0,-1,0
102,2330,1,1,1,9950,9827,4579,350,289,100,0,1,0,3,2,1,0,0,0,0
103,2333,1,1,1,12712,9429,2473,398,283,60,0,0,0,3,1,0,1,0,0,0
104,2335,1,1,1,8135,9476,15345,298,284,457,0,1,0,3,1,6,0,0,1,1
105,2342,1,1,0,14706,8528,0,523,210,0,0,0,-1,8,2,-1,0,0,-1,0
106,2348,1,1,1,14770,15712,11102,561,489,302,0,2,0,9,3,1,1,2,0,1
107,2352,1,1,1,7967,9007,4246,289,291,255,0,0,0,1,2,1,0,0,1,0
108,2353,1,1,0,11367,9963,0,442,393,0,0,0,-1,2,9,-1,1,0,-1,0
109,2367,1,1,0,13518,12254,0,497,243,0,1,0,-1,10,7,-1,0,0,-1,0
110,2368,1,1,1,9497,10273,8804,304,286,288,0,0,0,2,1,1,0,0,0,0
111,2370,1,1,1,7076,11469,3125,272,339,74,1,0,0,1,2,1,0,0,0,0
112,2375,1,1,1,9052,7684,4356,325,266,208,1,0,0,2,1,1,0,0,0,0
113,2380,1,1,1,11070,13319,13634,280,280,289,0,0,0,1,1,1,0,0,0,1
114,2391,1,1,1,9334,9584,6035,308,267,131,1,0,0,2,1,1,0,0,0,0
115,2415,1,1,0,14709,10321,0,553,214,0,0,0,-1,11,1,-1,0,0,-1,0
116,2416,1,1,1,8302,9684,1763,272,270,37,0,0,0,1,1,0,0,0,0,0
117,2420,1,1,0,13194,9925,0,492,254,0,0,0,-1,9,4,-1,0,0,-1,0
118,2426,1,1,1,8870,10063,0,299,284,12,0,0,0,2,1,0,0,0,0,0
119,2436,1,1,0,11931,9854,0,468,259,0,1,0,-1,7,1,-1,0,0,-1,0
120,2446,1,1,0,9718,6458,0,440,213,0,0,0,-1,5,2,-1,0,1,-1,0
121,2448,1,1,1,11074,11423,11243,397,347,288,0,0,0,5,5,1,0,0,0,1
122,2451,1,1,0,7378,9685,0,356,296,0,0,0,-1,2,4,-1,0,0,-1,0
123,2453,1,1,1,7516,7592,10518,286,285,351,0,0,0,1,1,4,0,0,0,1
124,2455,1,1,0,9801,11225,0,367,313,0,0,0,-1,4,6,-1,0,0,-1,0
125,2459,1,1,1,11011,12344,16032,320,340,479,0,0,2,2,2,8,0,0,0,1
126,2462,1,1,1,7336,10027,10267,278,298,308,0,0,0,1,2,2,0,0,0,1
127,2472,1,1,0,9382,9548,0,408,232,0,0,0,-1,5,1,-1,0,0,-1,0
128,2474,1,1,0,10785,7585,0,353,214,0,0,0,-1,3,1,-1,0,0,-1,0
129,2491,1,1,0,13826,6966,0,504,141,0,0,0,-1,5,1,-1,1,0,-1,0
130,2493,1,1,0,11330,7165,0,340,291,0,0,0,-1,3,2,-1,0,0,-1,0
131,2499,1,1,0,7481,4646,0,320,219,0,0,0,-1,2,1,-1,0,0,-1,0
132,2510,1,1,0,8784,9231,0,349,242,0,0,0,-1,3,2,-1,0,0,-1,0
133,2511,1,1,1,10577,12503,13668,322,345,330,0,0,0,2,3,3,0,0,0,1
134,2513,1,1,0,9801,7300,0,371,185,0,0,0,-1,2,2,-1,0,0,-1,0
135,2514,1,1,0,7700,12425,0,292,357,0,0,0,-1,2,6,-1,0,0,-1,0
136,2516,1,1,0,11420,11840,0,337,240,0,1,0,-1,2,4,-1,0,1,-1,0
137,2520,1,1,0,9142,5723,0,331,224,0,0,1,-1,3,4,-1,0,1,-1,0
138,2523,1,1,0,7768,10263,0,290,281,0,0,0,-1,1,2,-1,0,0,-1,0
139,2533,1,1,0,11808,1033,0,494,30,0,0,0,-1,6,0,-1,0,0,-1,0
140,2538,1,1,1,10248,11456,15144,302,274,511,0,0,0,2,1,8,0,0,0,1
141,2541,1,1,0,10141,12273,0,332,286,0,0,1,-1,2,3,-1,0,1,-1,0
142,2545,1,1,0,9962,9839,0,377,237,0,0,0,-1,4,4,-1,0,0,-1,0
143,2547,1,1,0,7656,9460,0,287,326,0,0,0,-1,1,5,-1,0,0,-1,0
144,2550,1,1,0,8487,12863,0,266,306,0,1,1,-1,1,5,-1,0,0,-1,0
145,2554,1,1,1,11818,9902,9894,411,278,314,0,1,1,7,1,2,0,0,0,0
146,2560,1,1,1,8189,11463,9290,285,344,268,0,0,2,1,4,1,0,0,0,0
147,2568,1,1,1,7805,8337,9485,315,290,297,0,0,0,2,1,2,0,0,0,0
148,2570,1,1,0,9815,7064,0,334,177,0,0,0,-1,2,1,-1,0,0,-1,0
149,2575,1,1,0,7876,9607,0,272,250,0,1,0,-1,1,1,-1,0,0,-1,0
150,2576,1,1,0,9060,7064,0,306,211,0,0,0,-1,2,1,-1,0,0,-1,0
151,2584,1,1,0,13276,5005,0,467,108,0,0,0,-1,5,1,-1,2,0,-1,0
152,2597,1,1,0,8575,9442,0,317,281,0,0,0,-1,2,3,-1,0,0,-1,0
153,2602,1,1,1,10832,9291,12639,344,284,326,0,2,1,4,1,2,0,0,0,1
154,2603,1,1,0,7085,9042,0,287,262,0,0,1,-1,2,1,-1,0,0,-1,0
155,2604,1,1,1,8278,9965,11114,288,289,331,0,0,0,2,1,3,0,0,0,1
156,2605,1,1,1,10734,9970,9822,359,307,307,0,0,0,5,2,2,0,0,0,0
157,2607,1,1,0,8131,12428,0,266,291,0,0,0,-1,1,2,-1,0,1,-1,0
158,2613,1,1,0,7404,11199,0,268,293,0,1,0,-1,1,4,-1,0,1,-1,0
159,2618,1,1,1,9837,14391,13886,263,327,289,0,0,0,1,2,1,0,0,0,1
160,2623,1,1,0,10809,9010,0,351,201,0,0,0,-1,3,1,-1,0,0,-1,0
161,2626,1,1,0,9209,11558,0,272,276,0,0,1,-1,1,2,-1,0,0,-1,0
162,2627,1,1,0,8636,2932,0,335,68,0,0,0,-1,1,0,-1,0,0,-1,0
163,2630,1,1,0,9706,5368,0,372,129,0,0,0,-1,2,2,-1,0,1,-1,0
164,2631,1,1,0,9068,7467,0,302,227,0,0,0,-1,2,1,-1,0,0,-1,0
165,2634,1,1,0,8007,7864,0,287,190,0,0,0,-1,2,2,-1,0,0,-1,0
166,2635,1,1,0,7270,6964,0,268,197,0,0,0,-1,1,1,-1,0,0,-1,0
167,2638,1,1,0,7400,6741,0,337,185,0,0,1,-1,3,1,-1,0,0,-1,0
168,2640,1,1,0,9538,10339,0,291,225,0,1,0,-1,1,2,-1,0,0,-1,0
169,2642,1,1,1,9939,14163,9385,323,459,296,0,1,1,2,7,1,0,0,0,0
170,2643,1,1,0,5797,4691,0,281,156,0,0,0,-1,1,5,-1,0,0,-1,0
171,2644,1,1,0,9770,8307,0,322,197,0,0,1,-1,3,3,-1,0,0,-1,0
172,2647,1,1,0,9271,4740,0,298,217,0,0,0,-1,2,1,-1,0,0,-1,0
173,2651,1,1,1,7050,8159,10212,285,280,332,0,0,0,1,1,3,0,0,0,1
174,2652,1,1,0,10059,7134,0,347,179,0,0,0,-1,2,1,-1,0,0,-1,0
175,2654,1,1,0,6934,6386,0,272,196,0,1,0,-1,1,1,-1,0,0,-1,0
176,2655,1,1,0,7199,4186,0,291,222,0,0,0,-1,2,2,-1,0,0,-1,0
177,2656,1,1,0,9094,7283,0,300,149,0,0,0,-1,1,3,-1,0,0,-1,0
178,2657,1,1,1,7332,9296,10108,277,294,281,0,0,0,1,1,1,0,0,0,1
179,2662,1,1,0,7575,6742,0,314,210,0,0,0,-1,2,1,-1,0,0,-1,0
180,2663,1,1,0,9203,6947,0,348,184,0,0,0,-1,3,2,-1,0,0,-1,0
181,2664,1,1,0,8192,9045,0,267,275,0,0,0,-1,1,5,-1,0,0,-1,0
182,2669,1,1,0,7426,7194,0,300,192,0,0,1,-1,2,1,-1,0,0,-1,0
183,2673,1,1,1,7080,9725,9310,295,278,262,0,0,0,2,1,1,0,0,0,0
184,2674,1,1,0,12669,739,0,463,21,0,1,0,-1,7,0,-1,1,0,-1,0
185,2675,1,1,0,6849,6870,0,280,223,0,0,0,-1,1,1,-1,0,0,-1,0
186,2676,1,1,0,6343,5521,0,288,139,0,0,0,-1,1,1,-1,0,0,-1,0
187,2678,1,1,1,8938,9940,9819,280,295,270,0,0,0,1,1,1,0,0,0,0
188,2689,1,1,0,7623,8999,0,274,244,0,0,0,-1,1,1,-1,0,0,-1,0
189,2690,1,1,0,7241,4448,0,279,128,0,0,0,-1,1,1,-1,0,0,-1,0
190,2694,1,1,0,8973,11039,0,268,244,0,0,0,-1,1,6,-1,0,0,-1,0
191,2696,1,1,0,8037,0,0,290,5,0,1,0,-1,2,0,-1,0,0,-1,0
192,2697,1,1,0,7150,7408,0,277,224,0,0,2,-1,1,2,-1,0,0,-1,0
193,2702,1,1,0,7760,8564,0,278,194,0,0,0,-1,1,2,-1,0,0,-1,0
194,2708,1,1,0,12567,725,0,433,21,0,0,0,-1,2,0,-1,1,0,-1,0
195,2709,1,1,0,6359,4504,0,301,116,0,0,0,-1,1,1,-1,0,0,-1,0
196,2713,1,1,0,8171,0,0,290,2,0,0,1,-1,2,0,-1,0,0,-1,0
197,2715,1,1,1,8462,5373,10479,317,324,343,0,0,0,3,2,4,0,0,0,1
198,2719,1,1,0,7298,6705,0,278,173,0,0,0,-1,1,3,-1,0,0,-1,0
199,2724,1,1,1,7997,10736,13718,267,291,370,1,0,0,1,1,2,0,0,1,1
200,2726,1,1,0,7312,8222,0,273,190,0,0,0,-1,1,1,-1,0,0,-1,0
201,2729,1,1,1,12749,14240,10676,471,452,289,0,1,0,8,4,1,0,1,0,1
202,2731,1,1,0,7431,5725,0,295,148,0,0,0,-1,2,3,-1,0,0,-1,0
203,2733,1,1,0,8278,5913,0,286,180,0,0,0,-1,1,2,-1,0,0,-1,0
204,2738,1,1,0,7638,5024,0,297,128,0,0,0,-1,2,1,-1,0,0,-1,0
205,2743,1,1,0,6474,3796,0,290,110,0,0,0,-1,2,1,-1,0,0,-1,0
206,2746,1,1,0,11364,6630,0,319,131,0,0,0,-1,3,2,-1,0,1,-1,0
207,2750,1,1,0,7921,2044,0,293,53,0,0,0,-1,2,0,-1,0,0,-1,0
208,2762,1,1,0,7172,4887,0,272,119,0,0,0,-1,1,3,-1,0,0,-1,0
209,2765,1,1,1,7312,12356,12313,266,367,386,0,0,0,1,4,8,0,0,0,1
210,2767,1,1,0,6954,1660,0,271,45,0,0,0,-1,1,1,-1,0,0,-1,0
211,2770,1,1,1,11214,15923,12205,308,435,344,0,1,2,1,8,3,0,0,0,1
212,2777,1,1,1,10383,10201,10528,361,327,274,0,0,0,3,5,1,2,0,0,1
213,2799,1,1,0,6934,0,0,270,6,0,0,0,-1,1,0,-1,0,0,-1,0
214,2805,1,1,0,8284,0,0,288,4,0,0,0,-1,2,0,-1,0,0,-1,0
215,2808,1,1,0,7499,0,0,264,5,0,0,0,-1,1,0,-1,0,0,-1,0
216,2809,1,1,1,18043,17101,15644,530,371,339,0,0,0,10,5,3,0,0,0,1
217,2824,1,1,0,6821,1549,0,285,55,0,0,0,-1,1,1,-1,0,0,-1,0
218,2829,1,1,1,16473,15620,19425,481,344,507,0,0,0,8,3,9,0,0,0,1
219,2854,1,1,0,8296,0,0,269,27,0,0,0,-1,1,0,-1,0,0,-1,0
220,2860,1,1,1,11221,10028,15017,457,301,596,0,0,0,5,1,7,0,0,0,1
221,2907,1,1,1,7032,8487,10583,261,275,289,0,0,0,2,1,1,0,0,0,1
222,2944,1,1,1,21902,11557,14283,803,290,340,0,0,0,10,1,4,2,0,0,1
223,2949,1,1,1,14881,17726,13860,361,442,320,0,0,0,4,6,2,0,0,0,1
224,2963,1,1,1,10076,13477,11773,385,497,383,0,1,3,4,9,2,1,0,0,1
225,2966,1,1,1,10889,11416,12926,320,274,382,1,0,0,2,1,5,0,0,0,1
226,2970,1,1,1,10134,16536,20042,297,459,548,0,0,0,2,6,4,0,1,1,1
227,2973,1,1,1,16654,11326,11445,601,263,314,0,0,0,8,1,2,1,0,0,1
228,2994,1,1,1,11181,12690,15952,375,342,446,1,2,0,3,1,4,1,0,0,1
229,3020,1,1,1,11486,11006,10666,523,326,277,0,0,0,8,1,1,0,0,0,1
230,3032,1,1,1,8129,11516,13273,276,377,484,0,0,1,1,4,5,0,0,0,1
231,3037,1,1,1,13756,12351,11121,428,344,320,0,0,0,8,4,3,0,0,0,1
232,3050,1,1,1,11956,10453,16176,412,316,553,0,0,0,5,1,6,0,0,1,1
233,3057,1,1,1,12547,8310,9010,516,274,301,0,2,0,7,1,1,1,0,0,0
234,3075,1,1,1,6899,9971,10501,273,393,373,0,0,0,1,6,5,0,0,0,1
235,3079,1,1,1,10430,11923,15138,376,336,522,0,0,0,3,2,7,1,1,0,1
236,3081,1,1,1,8184,11183,12228,286,308,347,0,0,0,1,2,3,0,0,0,1
237,3093,1,1,1,9532,10856,10213,308,285,281,2,0,0,1,1,1,0,0,0,1
238,3097,1,1,1,10094,15157,16618,367,523,533,1,0,3,4,3,8,0,0,0,1
239,3104,1,1,1,9056,15515,23014,271,468,678,1,1,0,1,8,15,0,0,1,1
240,3105,1,1,1,9867,14930,13788,313,475,373,0,0,0,3,7,4,0,2,0,1
241,3116,1,1,1,12217,11653,15874,445,301,498,0,0,0,5,1,2,0,0,1,1
242,3135,1,1,1,15068,11203,17344,523,269,540,0,0,3,9,1,5,1,0,2,1
243,3203,1,1,1,13737,12915,18344,460,330,598,0,0,0,4,2,11,0,0,1,1
244,3210,1,1,1,9478,12495,18982,354,310,541,1,0,0,3,2,7,0,0,1,1
245,3216,1,1,1,7805,12189,8909,269,415,288,0,0,5,1,6,1,0,1,0,0
246,3282,1,1,1,7870,13669,13366,271,376,355,0,1,0,1,3,3,0,0,0,1
247,3294,1,1,1,11227,12368,12559,397,367,408,0,0,0,4,3,4,0,0,0,1
248,3298,1,1,1,10632,9704,13341,348,297,371,0,0,1,3,1,3,0,0,0,1
249,3312,1,1,1,15935,11356,15510,559,286,484,2,2,2,8,1,6,1,0,0,1
250,3336,1,1,1,16291,12768,12914,489,336,384,0,0,0,7,2,4,1,0,0,1
251,3346,1,1,1,8157,11990,14106,271,378,415,1,0,0,1,5,6,0,0,0,1
252,3349,1,1,1,9232,11652,11017,285,429,269,0,0,0,1,8,1,0,0,0,1
253,3378,1,1,1,8390,14472,16062,292,410,486,0,0,0,1,5,10,0,0,0,1
254,3402,1,1,1,9256,10463,9856,331,314,278,0,0,0,2,3,1,0,0,0,0
255,3409,1,1,1,10166,10779,11796,334,328,392,0,0,1,4,3,3,0,0,1,1
256,3419,1,1,1,12807,13869,13515,441,428,404,0,0,0,4,3,3,0,0,0,1
257,3436,1,1,1,8140,12086,8596,332,451,285,0,0,1,2,7,1,1,1,0,0
258,3438,1,1,1,9184,14696,11376,286,459,283,0,0,0,1,4,1,0,1,0,1
259,3444,1,1,1,8869,13732,12161,284,378,336,0,0,0,1,4,4,0,0,0,1
260,3453,1,1,1,9546,11639,11760,299,331,283,0,0,0,1,2,1,0,0,0,1
261,3454,1,1,1,12164,12854,16148,417,336,459,0,1,2,5,3,5,0,0,0,1
262,3505,1,1,1,9385,9865,10841,410,285,287,0,0,0,4,1,1,1,0,0,1
263,3509,1,1,1,10701,10967,12280,347,305,387,0,0,1,3,2,6,0,0,0,1
264,3512,1,1,1,12645,10810,12864,504,270,470,0,2,0,7,1,9,1,0,0,1
265,3519,1,1,1,9849,10538,13190,296,333,334,0,0,0,2,3,3,0,0,0,1
266,3531,1,1,1,14092,10983,12538,433,309,325,0,0,0,6,2,3,1,0,0,1
267,3533,1,1,1,13913,13781,11994,414,379,278,0,0,0,4,4,1,1,0,0,1
268,3546,1,1,1,9076,9761,10361,312,326,292,0,0,0,3,2,1,0,0,0,1
269,3574,1,1,1,14313,13543,18295,386,286,537,1,0,2,4,1,9,0,0,0,1
270,3578,1,1,1,8505,13855,17675,294,403,605,0,0,3,1,5,8,0,0,0,1
271,3583,1,1,1,9521,14732,14225,287,426,468,0,0,0,1,6,9,0,0,0,1
272,3603,1,1,1,15087,13347,14443,419,309,337,1,0,2,2,2,2,1,0,0,1
273,3608,1,1,1,9798,10838,13818,319,296,370,0,0,0,2,2,3,0,0,0,1
274,3620,1,1,1,7537,10578,9469,297,382,298,0,1,0,2,3,1,0,1,0,0
275,3635,1,1,1,9423,10463,11001,342,351,297,0,1,0,3,2,1,0,0,0,1
276,3688,1,1,1,8834,11555,11640,279,339,359,0,0,2,1,2,2,0,0,0,1
277,3690,1,1,1,7490,9684,12073,307,323,350,0,0,0,3,2,3,0,0,0,1
278,3693,1,1,1,9802,14969,17127,309,394,412,0,0,0,3,4,5,0,0,0,1
279,3699,1,1,1,8951,12959,10185,286,350,375,0,0,1,1,3,3,0,0,0,1
280,3717,1,1,1,8362,13790,13776,283,436,501,2,0,0,1,6,10,0,0,0,1
281,3733,1,1,1,8943,14034,10524,310,463,283,1,1,2,3,3,1,0,1,0,1
282,3738,1,1,1,8567,11205,13096,351,395,515,0,0,0,5,3,9,0,1,0,1
283,3748,1,1,1,8490,12612,11911,294,434,331,0,0,1,2,5,2,0,1,0,1
284,3758,1,1,1,9478,13376,14230,280,394,469,0,0,0,1,5,5,0,0,0,1
285,3783,1,1,1,9716,11655,10740,325,308,285,5,0,0,2,2,1,0,0,0,1
286,3788,1,1,1,16318,14280,16249,436,359,453,0,1,2,6,3,8,1,0,0,1
287,3821,1,1,1,10352,11823,12268,309,306,359,0,0,0,2,2,3,0,0,0,1
288,3825,1,1,1,11683,11875,12757,300,266,294,0,0,1,1,1,1,0,0,0,1
289,3827,1,1,1,11933,13087,14801,293,285,413,0,0,1,1,1,3,0,0,0,1
290,3828,1,1,1,9051,10646,11150,303,348,312,0,0,1,1,4,2,0,0,0,1
